point	x	y	tidp	calmWaterSpeed	direction	type	use
0	-69.766667	37.083333	0.000000	24.076000	2.397666	1	0
1	-67.791783	37.166025	6.304576	24.076000	19.063078	0	0
2	-65.967405	37.796456	12.936212	24.076000	19.068762	0	0
3	-64.130795	38.431318	20.099110	24.076000	31.103315	0	0
4	-62.405489	39.472225	26.995935	24.076000	24.384685	0	0
5	-60.604158	40.288765	34.266578	24.076000	8.074683	0	0
6	-58.635195	40.568102	40.827444	24.076000	24.771307	0	0
7	-56.810563	41.410092	48.069613	24.076000	24.651180	0	0
8	-54.992663	42.244356	55.923727	24.076000	19.548335	0	0
9	-53.098206	42.917018	63.631762	24.076000	24.172389	0	0
10	-51.248612	43.747187	71.591140	24.076000	19.685930	0	0
11	-49.354958	44.424689	79.035497	24.076000	13.182809	0	0
12	-47.339079	44.896871	86.313040	24.076000	13.184651	0	0
13	-45.344000	45.364249	93.089540	24.076000	13.675887	0	0
14	-43.310517	45.859052	100.274918	24.076000	12.560398	0	0
15	-41.274952	46.312578	106.915201	24.076000	19.781402	0	0
16	-39.319392	47.015906	113.670345	24.076000	7.610234	0	0
17	-37.161158	47.304268	120.975385	24.076000	8.171061	0	0
18	-35.026237	47.610814	127.887447	24.076000	13.312440	0	0
19	-32.889951	48.116301	134.928790	24.076000	6.955861	0	0
20	-30.626061	48.392501	141.892325	24.076000	5.811937	0	0
21	-28.338182	48.625377	148.747485	24.076000	9.721771	0	0
22	-26.137931	49.002333	155.612503	24.076000	6.065172	0	0
23	-23.891934	49.240981	162.504382	24.076000	10.127148	0	0
24	-21.648002	49.641783	169.381479	24.076000	10.614687	0	0
25	-19.415835	50.060114	176.312998	24.076000	5.576974	0	0
26	-17.089711	50.287249	183.270496	24.076000	5.186907	0	0
27	-14.755825	50.499111	190.180718	24.076000	5.992059	0	0
28	-12.407698	50.745580	197.132323	24.076000	4.956730	0	0
29	-10.178118	50.938947	203.636140	24.076000	14.441531	0	0
30	-8.109843	51.471588	210.116697	24.076000	13.059280	0	0
31	-5.808033	52.005511	217.150144	24.076000	65.325065	0	0
32	-5.157422	53.421673	223.961280	24.076000	-0.131880	0	0
33	-3.000053	53.416707	231.224086	28.372640	-172.019621	1	0
34	-5.070064	53.126509	237.535946	28.372640	-122.462133	0	0
35	-5.975655	51.702941	244.107413	28.372640	-115.176229	0	0
36	-6.664151	50.238234	250.608225	28.372640	-114.201943	0	0
37	-6.745833	50.056500	251.421642	28.372640	-114.068533	1	0
38	-6.828167	49.872170	252.245630	28.372640	-111.271720	1	0
39	-7.849088	47.249820	263.785408	28.372640	-115.572271	1	0
40	-8.544097	45.797420	270.228107	28.372640	-116.459039	0	0
41	-9.259615	44.359740	276.536369	28.372640	-121.700088	0	0
42	-10.104670	42.991483	282.613251	28.372640	-90.016704	0	0
43	-10.105116	41.463927	288.698180	28.372640	-90.016720	0	0
44	-10.105561	39.936370	294.755278	28.372640	-85.507191	0	0
45	-9.986845	38.425511	300.754403	28.372640	-62.168554	0	0
