arcPos	arcNr	speedSetting	calmWaterSpeed(k)	sogAllInclusive(k)	distance(k)	accumDist(km)	distLeft(km)	time(h)	fuelBase	emission	safetyBase	channelCost	maxWindSpeed	maxWaveHeight	weightCost	fromLevel	fromPointNr	fromTimeInterval	toLevel	toPointNr	toTimeInterval	lat1	lon1	lat2	lon2	WindFactor	WaveFactor	CurrentFactor	DelayFactor	WindSpeedDiff(k)	WaveSpeedDiff(k)	CurrentSpeedDiff(k)	DelaySpeedDiff(k)	dollarCostArcs	forecastType	exactTime	dollarCostExact	fuelCostExact	timeCostExact	channelCost
0	11	0	13.000000	15.016016	94.669610	0.000000	7977.165679	6.304576	6819.638345	26.860851	0.000000	0.000000	31.278551	2.020000	367780.452827	0	0	0	1	47	25	-69.766667	37.083333	-67.791783	37.166025	-0.315	-0.984	16.141	0.000	-0.043	-0.135	2.216	0.000	10497.308	Fcst	6.304576	10494.833407	6817.164227	3677.669180	0.000000
1	42	0	13.000000	14.295785	94.804443	175.328117	7801.837562	6.631636	7177.530250	28.270497	0.000000	0.000000	40.509279	2.360000	386859.675609	1	47	25	2	46	52	-67.791783	37.166025	-65.967405	37.796456	-1.130	0.051	10.968	0.000	-0.155	0.007	1.504	0.000	11045.985	Fcst	12.936212	11050.036929	7181.582625	3868.454305	0.000000
2	141	0	13.000000	13.229450	94.761211	350.905946	7626.259733	7.162899	7751.256246	30.530261	0.000000	0.000000	40.509279	2.380000	417851.133777	2	46	52	3	45	81	-65.967405	37.796456	-64.130795	38.431318	-1.058	-0.315	3.068	0.000	-0.145	-0.043	0.421	0.000	11929.614	Fcst	20.099110	11934.415635	7756.058135	4178.357500	0.000000
3	421	0	13.000000	14.782794	101.954337	526.403709	7450.761971	6.896825	7465.186182	29.403502	0.000000	0.000000	36.488533	2.400000	402329.585094	3	45	81	4	42	109	-64.130795	38.431318	-62.405489	39.472225	-0.965	0.132	14.866	0.000	-0.123	0.017	1.896	0.000	11488.334	Fcst	26.995935	11490.922797	7467.775107	4023.147690	0.000000
4	887	0	13.000000	13.257406	96.389865	715.223141	7261.942538	7.270643	7872.708121	31.008629	0.000000	0.000000	28.550633	2.290000	424136.465879	4	42	109	5	40	138	-62.405489	39.472225	-60.604158	40.288765	-0.610	0.021	2.553	0.000	-0.082	0.003	0.344	0.000	12113.917	Fcst	34.266578	12112.151253	7870.942843	4241.208410	0.000000
5	1515	0	13.000000	13.951890	91.536476	893.737171	7083.428509	6.560866	7107.754473	27.995668	0.000000	0.000000	25.986164	2.520000	382731.269970	5	40	138	6	41	164	-60.604158	40.288765	-58.635195	40.568102	-0.254	-1.170	8.354	0.000	-0.036	-0.166	1.186	0.000	10934.926	Fcst	40.827444	10931.942407	7104.770774	3827.171633	0.000000
6	2276	0	13.000000	13.382533	96.918565	1063.262724	6913.902955	7.242169	7845.519483	30.901540	0.000000	0.000000	35.407202	2.350000	422475.436339	6	41	164	7	39	193	-58.635195	40.568102	-56.810563	41.410092	-0.044	-0.483	3.985	0.000	-0.006	-0.065	0.535	0.000	12070.118	Fcst	48.069613	12064.961800	7840.363146	4224.598654	0.000000
7	3153	0	13.000000	12.161242	95.515780	1242.755906	6734.409773	7.854114	8515.279365	33.539557	0.000000	0.000000	43.535371	2.300000	458173.554337	7	39	193	8	37	224	-56.810563	41.410092	-54.992663	42.244356	-2.000	-2.929	-1.208	0.000	-0.272	-0.399	-0.164	0.000	13096.846	Fcst	55.923727	13099.617024	8518.050482	4581.566542	0.000000
8	4251	0	13.000000	12.062561	92.978647	1419.651130	6557.514549	7.708036	8364.864219	32.947109	0.000000	0.000000	43.899943	2.300000	449652.014669	8	37	224	9	36	255	-54.992663	42.244356	-53.098206	42.917018	-3.380	-5.319	2.004	0.000	-0.473	-0.744	0.280	0.000	12861.218	Fcst	63.631762	12875.525968	8379.171837	4496.354130	0.000000
9	5453	0	13.000000	11.924760	94.913665	1591.847585	6385.318094	7.959377	9331.487905	34.293535	0.000000	0.000000	33.320249	1.890000	464314.915479	9	36	255	10	34	287	-53.098206	42.917018	-51.248612	43.747187	-3.263	-5.642	1.068	0.000	-0.447	-0.773	0.146	0.000	13974.458	Fcst	71.591140	14001.969305	9358.999199	4642.970106	0.000000
