Ship_SpeedSetting_kts	Wave_SWH	Wave_MWP	Wave_RWaA	Wave_WF_kts
5	0	1	0	0
5	0.25	1	0	1.65409146305777E-02
5	0.5	1	0	3.76778476681836E-02
5	0.75	1	0	6.80068175198459E-02
5	1	1	0	0.112123842592593
5	1.25	1	0	0.17326227675284
5	1.5	1	0	0.249204824996227
5	1.75	1	0	0.336371527777778
5	2	1	0	0.432787096123556
5	2.25	1	0	0.542894918902743
5	2.5	1	0	0.672743055555556
5	2.75	1	0	0.825462140233463
5	3	1	0	0.992513107032412
5	3.25	1	0	1.1624394647596
5	3.5	1	0	1.32378472222222
5	3.75	1	0	1.46803194948006
5	4	1	0	1.59842245694664
5	4.25	1	0	1.72113711628804
5	4.5	1	0	1.84235679917037
5	4.75	1	0	1.96826237725974
5	5	1	0	2.10503472222222
5	5.25	1	0	2.2565104222546
5	5.5	1	0	2.4171489254675
5	5.75	1	0	2.5790653965022
5	6	1	0	2.734375
5	6.25	1	0	2.87678132039016
5	6.5	1	0	3.00634162591046
5	6.75	1	0	3.12470160458664
5	7	1	0	3.23350694444444
5	7.25	1	0	3.33467828368561
5	7.5	1	0	3.43123606829775
5	7.75	1	0	3.52647569444444
5	8	1	0	3.62303347905658
5	8.25	1	0	3.72090942213415
5	8.5	1	0	3.81944444444445
5	0	1	2	0
5	0.25	1	2	1.65640076984329E-02
5	0.5	1	2	3.76718159726773E-02
5	0.75	1	2	6.78672254079578E-02
5	1	1	2	0.111694036664806
5	1.25	1	2	0.172387946147469
5	1.5	1	2	0.247952242520482
5	1.75	1	2	0.335082109994417
5	2	1	2	0.431855964173371
5	2.25	1	2	0.541885144157546
5	2.5	1	2	0.670164219988833
5	2.75	1	2	0.81915507872424
5	3	1	2	0.981188878542687
5	3.25	1	2	1.1460640939228
5	3.5	1	2	1.30357919987036
5	3.75	1	2	1.44615380537407
5	4	1	2	1.5766920499246
5	4.25	1	2	1.70071920771095
5	4.5	1	2	1.82376055231969
5	4.75	1	2	1.95134135778922
5	5	1	2	2.08898689759313
5	5.25	1	2	2.24012343828055
5	5.5	1	2	2.39978121015746
5	5.75	1	2	2.5608914360782
5	6	1	2	2.71638533923599
5	6.25	1	2	2.8605099465943
5	6.5	1	2	2.99277551038653
5	6.75	1	2	3.11400808684225
5	7	1	2	3.22503373294409
5	7.25	1	2	3.32719227720706
5	7.5	1	2	3.42387864568823
5	7.75	1	2	3.51900153416969
5	8	1	2	3.61568790114473
5	8.25	1	2	3.71393774811947
5	8.5	1	2	3.81296933539529
5	0	1	4	0
5	0.25	1	4	1.65833515268113E-02
5	0.5	1	4	3.76580917760765E-02
5	0.75	1	4	6.77156094887121E-02
5	1	1	4	0.111247293553337
5	1.25	1	4	0.171490481428227
5	1.5	1	4	0.246666314080699
5	1.75	1	4	0.33374188066001
5	2	1	4	0.430848932751191
5	2.25	1	4	0.540777871929566
5	2.5	1	4	0.66748376132002
5	2.75	1	4	0.812769138768069
5	3	1	4	0.969826445934935
5	3.25	1	4	1.1296955977993
5	3.5	1	4	1.28341651037376
5	3.75	1	4	1.42433507815823
5	4	1	4	1.55502110344845
5	4.25	1	4	1.68035036843066
5	4.5	1	4	1.80519865410948
5	4.75	1	4	1.93444174237574
5	5	1	4	2.0729554140125
5	5.25	1	4	2.22375902060756
5	5.5	1	4	2.38244618619647
5	5.75	1	4	2.5427541045856
5	6	1	4	2.698419970246
5	6.25	1	4	2.84422803019196
5	6.5	1	4	2.97915075710528
5	6.75	1	4	3.10320767665414
5	7	1	4	3.21641831598374
5	7.25	1	4	3.319550803107
5	7.5	1	4	3.41636768495966
5	7.75	1	4	3.51138010580034
5	8	1	4	3.60819698469896
5	8.25	1	4	3.70681832460956
5	8.5	1	4	3.80634189561695
5	0	1	6	0
5	0.25	1	6	1.65951968762362E-02
5	0.5	1	6	3.76289825772868E-02
5	0.75	1	6	6.75399459547508E-02
5	1	1	6	0.110766676074504
5	1.25	1	6	0.170546748481241
5	1.5	1	6	0.245313693712838
5	1.75	1	6	0.332300028223512
5	2	1	6	0.429690102385023
5	2.25	1	6	0.539475604736018
5	2.5	1	6	0.664600056447024
5	2.75	1	6	0.806225441918003
5	3	1	6	0.958387605091128
5	3.25	1	6	1.11334085110237
5	3.5	1	6	1.26333948658765
5	3.75	1	6	1.40263518472267
5	4	1	6	1.53346907806408
5	4.25	1	6	1.66007966774398
5	4.5	1	6	1.78670545318022
5	4.75	1	6	1.91758493507635
5	5	1	6	2.05695661252881
5	5.25	1	6	2.20743973553666
5	5.5	1	6	2.36517654493356
5	5.75	1	6	2.52469003095583
5	6	1	6	2.68050318480406
5	6.25	1	6	2.82792502857669
5	6.5	1	6	2.9654087283094
5	6.75	1	6	3.09219348157858
5	7	1	6	3.20751848810339
5	7.25	1	6	3.3115983937639
5	7.5	1	6	3.40854964799299
5	7.75	1	6	3.50346414124182
