Ship_SpeedSetting_kts	Wave_SWH	Wave_MWP	Wave_RWaA	Wave_WF_kts
5	0	1	0	0
5	0.25	1	0	1.80126076349153E-02
5	0.5	1	0	4.09641826856664E-02
5	0.75	1	0	0.073793692568089
5	1	1	0	0.121440104698019
5	1.25	1	0	0.187422014151824
5	1.5	1	0	0.269576511280121
5	1.75	1	0	0.364320314094056
5	2	1	0	0.469565914187316
5	2.25	1	0	0.589208898658342
5	2.5	1	0	0.728640628188112
5	2.75	1	0	0.890324177854484
5	3	1	0	1.06500947558782
5	3.25	1	0	1.24051816371536
5	3.5	1	0	1.40467188456434
5	3.75	1	0	1.54861674818559
5	4	1	0	1.67679673796234
5	4.25	1	0	1.79698030500141
5	4.5	1	0	1.91693590040961
5	4.75	1	0	2.04443197529378
5	5	1	0	2.18723698076072
5	5.25	1	0	2.34967022408662
5	5.5	1	0	2.52225443920843
5	5.75	1	0	2.69206321623249
5	6	1	0	2.84617014526511
5	6.25	1	0	2.97507595430259
5	6.5	1	0	3.0829899252437
5	6.75	1	0	3.17754847787717
5	7	1	0	3.26638803199172
5	7.25	1	0	3.355739115765
5	7.5	1	0	3.446208695279
5	7.75	1	0	3.53699784500464
5	8	1	0	3.62746742451865
5	8.25	1	0	3.71761743382101
5	8.5	1	0	3.80760765801756
5	0	1	2	0
5	0.25	1	2	1.80095527902349E-02
5	0.5	1	2	4.08821772113394E-02
5	0.75	1	2	7.34809449053078E-02
5	1	1	2	0.120668927468495
5	1.25	1	2	0.185961343060881
5	1.5	1	2	0.267481982268328
5	1.75	1	2	0.362006782490488
5	2	1	2	0.467520867537977
5	2.25	1	2	0.5868461090379
5	2.5	1	2	0.724013564980977
5	2.75	1	2	0.880645590736398
5	3	1	2	1.0487297270693
5	3.25	1	2	1.21784481171137
5	3.5	1	2	1.37756968280965
5	3.75	1	2	1.52033480943847
5	4	1	2	1.64997718737083
5	4.25	1	2	1.7731854445496
5	4.5	1	2	1.89664820815088
5	4.75	1	2	2.02705410561549
5	5	1	2	2.17109176440708
5	5.25	1	2	2.33242507682702
5	5.5	1	2	2.50261899661813
5	5.75	1	2	2.67021374207344
