Ship_SpeedSetting_kts	Wind_RWS	Wind_RWiA	Wind_WF_kts
5	0	0	-1.45845051451964E-02
5	1	0	-5.66945974144171E-03
5	2	0	-8.05047079331379E-03
5	3	0	-8.54690699689771E-03
5	4	0	-5.11810873698117E-03
5	5	0	-2.79078820803863E-03
5	6	0	-1.84107323092601E-03
5	7	0	2.51784643206877E-02
5	8	0	6.11947695189595E-02
5	9	0	9.56560597701709E-02
5	10	0	0.12953940279902
5	11	0	0.164446701851544
5	12	0	0.194653646887306
5	13	0	0.219365013373007
5	14	0	0.242064783613694
5	15	0	0.273095266967062
5	16	0	0.325793432000487
5	17	0	0.404221599698954
5	18	0	0.503008713608275
5	19	0	0.606501495381192
5	20	0	0.711045835707595
5	21	0	0.829039190153691
5	22	0	0.957910187093857
5	23	0	1.09833701944188
5	24	0	1.21972024806196
5	25	0	1.29755432841428
5	26	0	1.35288257866637
5	27	0	1.4241308294489
5	28	0	1.52400796778057
5	29	0	1.62428059720214
5	30	0	1.70386940852721
5	31	0	1.78348852259154
5	0	2	-1.44781570688634E-02
5	1	2	-5.66039617745119E-03
5	2	2	-7.39301240765951E-03
5	3	2	-7.27695987244812E-03
5	4	2	-3.94169304283269E-03
5	5	2	-1.54157636465796E-03
5	6	2	-1.47649258608193E-04
5	7	2	0.025697301999425
5	8	2	5.98653347351901E-02
5	9	2	9.37301008048632E-02
5	10	2	0.12741300086248
5	11	2	0.161701749580062
5	12	2	0.192281399078378
5	13	2	0.21812720864029
5	14	2	0.242045837128084
5	15	2	0.273225096597718
5	16	2	0.323008262987488
5	17	2	0.395919443605317
5	18	2	0.488857972316634
5	19	2	0.589786349109353
5	20	2	0.696626164844899
5	21	2	0.817027814354648
5	22	2	0.948133841249526
5	23	2	1.08862887043349
5	24	2	1.20984310651477
5	25	2	1.28954359190166
5	26	2	1.34734268150024
5	27	2	1.42004428609456
5	28	2	1.5196073576086
5	29	2	1.61969524881301
5	30	2	1.70056350455019
5	31	2	1.78136679087528
5	0	4	-1.43718089925305E-02
5	1	4	-5.65371794198167E-03
5	2	4	-6.73903908185276E-03
5	3	4	-6.03448719571519E-03
5	4	4	-2.77054185479341E-03
5	5	4	-2.91630816891636E-04
5	6	4	1.55005292490055E-03
5	7	4	2.62683360709912E-02
5	8	4	5.85976609693372E-02
5	9	4	9.18297893515398E-02
5	10	4	0.12530962617356
5	11	4	0.15893479276733
5	12	4	0.189879184047008
5	13	4	0.216792460918751
5	14	4	0.24186539205408
5	15	4	0.273191379616174
5	16	4	0.320123810337401
5	17	4	0.387714210659002
5	18	4	0.474872863851961
5	19	4	0.57334197213017
5	20	4	0.682543184328905
5	21	4	0.805210324113126
5	22	4	0.938492675957533
5	23	4	1.07903055868368
5	24	4	1.20003033334892
5	25	4	1.28153529595872
5	26	4	1.34172718577119
5	27	4	1.4158043902575
5	28	4	1.51499993209861
5	29	4	1.61483722167234
5	30	4	1.69695238306901
5	31	4	1.77891808974991
5	0	6	-1.42654609161975E-02
5	1	6	-5.64943993561622E-03
5	2	6	-6.08827873929871E-03
5	3	6	-4.82234267893065E-03
5	4	6	-1.60399283976768E-03
5	5	6	9.59516868708113E-04
5	6	6	0.003251154148628
5	7	6	2.68780587185103E-02
5	8	6	5.73954306580739E-02
5	9	6	8.99691835955465E-02
5	10	6	0.123253685320706
5	11	6	0.156172513176607
5	12	6	0.187472910072417
5	13	6	0.215383973044254
5	14	6	0.241548053271122
5	15	6	0.273013788461033
5	16	6	0.317156292304295
5	17	6	0.379631340409539
5	18	6	0.461071632889731
5	19	6	0.557193384494006
5	20	6	0.668832769923165
5	21	6	0.793620653260302
5	22	6	0.929014666713141
5	23	6	1.06956504416585
5	24	6	1.19029905574328
5	25	6	1.27354599223027
5	26	6	1.33604902099539
5	27	6	1.41141725451883
5	28	6	1.51019324725624
5	29	6	1.60971338967448
5	30	6	1.69304291636135
5	31	6	1.77615778547216
5	0	8	-1.41591128398646E-02
5	1	8	-5.64757732910424E-03
5	2	8	-5.44027137445406E-03
5	3	8	-3.64246302283023E-03
5	4	8	-4.412656659847E-04
5	5	8	2.21226051794722E-03
5	6	8	4.95461638681637E-03
5	7	8	2.75082669902943E-02
5	8	8	5.62510910798184E-02
5	9	8	8.81537976047251E-02
5	10	8	0.121265650572238
5	11	8	0.153445459947504
5	12	8	0.185093159147621
5	13	8	0.213934639050029
5	14	8	0.241133913152839
5	15	8	0.272725510726234
5	16	8	0.314132417292364
5	17	8	0.371693974777878
5	18	8	0.447469648279665
5	19	8	0.541358621992235
5	20	8	0.655526359117054
5	21	8	0.78229865111549
5	22	8	0.919735846668443
5	23	8	1.06026222940875
5	24	8	1.18067365164187
5	25	8	1.26559696974723
5	26	8	1.33032945163346
5	27	8	1.40689952964005
5	28	8	1.50520898204016
5	29	8	1.60434993820379
5	30	8	1.68886191667588
5	31	8	1.77312518460856
5	0	10	-1.40527647635316E-02
5	1	10	-5.64814000532616E-03
5	2	10	-4.7944374562484E-03
5	3	10	-2.4954580669916E-03
5	4	10	7.18279146507748E-04
5	5	10	3.46677310246654E-03
5	6	10	6.65932364275597E-03
5	7	10	2.81484842528858E-02
5	8	10	5.51426972456458E-02
5	9	10	0.086369920583695
5	10	10	0.119348601650229
5	11	10	0.150778207466992
5	12	10	0.182766251839164
5	13	10	0.212479224085307
5	14	10	0.240671499509375
5	15	10	0.272368567621588
5	16	10	0.311086043290612
5	17	10	0.36391559654443
5	18	10	0.434078195379458
5	19	10	0.525846802206578
5	20	10	0.642651602893006
5	21	10	0.771280020548544
5	22	10	0.910694228500779
5	23	10	1.05115287454336
5	24	10	1.17118013124051
5	25	10	1.25771435514814
5	26	10	1.32459715996209
5	27	10	1.40227723150792
5	28	10	1.5000811238145
5	29	10	1.59879201719433
5	30	10	1.68445365373496
5	31	10	1.76987884929997
5	0	12	-1.39464166871987E-02
5	1	12	-5.65111513784644E-03
5	2	12	-4.15005423375901E-03
5	3	12	-1.37972962556948E-03
5	4	12	1.87487517077233E-03
5	5	12	4.72298503882886E-03
5	6	12	8.36440807110879E-03
5	7	12	2.88099782811637E-02
5	8	12	5.40327675703298E-02
5	9	12	8.45671297008419E-02
5	10	12	0.117457546513633
5	11	12	0.1481648728885
5	12	12	0.180489937600519
5	13	12	0.211035323258325
5	14	12	0.240202706658033
5	15	12	0.271983309486538
5	16	12	0.308048391413709
5	17	12	0.356280081739549
5	18	12	0.420887871456622
5	19	12	0.510633563766677
5	20	12	0.630204174759869
5	21	12	0.76056676849606
5	22	12	0.901910470526818
5	23	12	1.04225256512829
5	24	12	1.16183517015116
5	25	12	1.24991236793076
5	26	12	1.31887805370346
5	27	12	1.39758348686952
5	28	12	1.49485415832108
5	29	12	1.59310707113878
5	30	12	1.67988317255909
5	31	12	1.76649499367204
5	0	14	-1.38400686108657E-02
5	1	14	-5.65648260389803E-03
5	2	14	-3.50633326403241E-03
5	3	14	-2.90357131974391E-04
5	4	14	3.02799832259005E-03
5	5	14	5.98070217369612E-03
5	6	14	1.00689833628358E-02
5	7	14	2.95242642022662E-02
5	8	14	5.28788303734195E-02
5	9	14	8.26208629206822E-02
5	10	14	0.115425020017872
5	11	14	0.14544262391855
5	12	14	0.178094864405392
5	13	14	0.209365772549865
5	14	14	0.239426020367043
5	15	14	0.271282873821485
5	16	14	0.304842147111071
5	17	14	0.348841328545604
5	18	14	0.408121110235615
5	19	14	0.496078051538641
5	20	14	0.618657965698819
5	21	14	0.750397710099735
5	22	14	0.893589293832489
5	23	14	1.03372385411031
5	24	14	1.15273980657133
5	25	14	1.24216668311803
5	26	14	1.31304243323893
5	27	14	1.39258630291773
5	28	14	1.48921730907852
5	29	14	1.58691221051508
5	30	14	1.67470058582902
5	31	14	1.7624794713756
5	0	16	-1.37337205345328E-02
5	1	16	-5.66422030036126E-03
5	2	16	-2.86243471210985E-03
5	3	16	7.82745151577055E-04
5	4	16	4.17598667823632E-03
5	5	16	7.23967992299374E-03
5	6	16	1.17720248461773E-02
5	7	16	3.03494545284362E-02
5	8	16	0.051754737952165
5	9	16	8.03758634190974E-02
5	10	16	0.113001465563519
5	11	16	0.142613312344545
5	12	16	0.175334662809687
5	13	16	0.206646180376304
5	14	16	0.237292396544838
5	15	16	0.269052769511531
5	16	16	0.301402863342496
5	17	16	0.344378340016785
5	18	16	0.401273979711892
5	19	16	0.490318734749421
5	20	16	0.617145360573877
5	21	16	0.748969204466206
5	22	16	0.892861586982542
5	23	16	1.03141967582756
5	24	16	1.14807487492599
5	25	16	1.23721714626963
5	26	16	1.30833276713602
5	27	16	1.38725255392532
5	28	16	1.4827134927642
5	29	16	1.57885956237426
5	30	16	1.66677050306208
5	31	16	1.75586963966482
5	0	18	-1.36273724581998E-02
5	1	18	-5.67430310794455E-03
5	2	18	-2.21752753817152E-03
5	3	18	1.84162245464192E-03
5	4	18	5.31592044738913E-03
5	5	18	8.49967081284584E-03
5	6	18	1.34723445080152E-02
5	7	18	3.15060575759929E-02
5	8	18	5.16693608040615E-02
5	9	18	7.84693549246013E-02
5	10	18	0.110181684523158
5	11	18	0.13923706514641
5	12	18	0.171726536758004
5	13	18	0.202954018653386
5	14	18	0.234069041746128
5	15	18	0.26580908262553
5	16	18	0.297783166559906
5	17	18	0.340937445990678
5	18	18	0.397751899934204
5	19	18	0.489392623804157
5	20	18	0.620044222063298
5	21	18	0.75241976104147
5	22	18	0.896264057711611
5	23	18	1.03247833073993
5	24	18	1.14577637208093
5	25	18	1.23384957306419
5	26	18	1.30482584916261
5	27	18	1.38302603072848
5	28	18	1.47719622996242
5	29	18	1.57125203513686
5	30	18	1.65905644574217
5	31	18	1.74887757385501
5	0	20	-1.35210243818669E-02
5	1	20	-5.68669956537611E-03
5	2	20	-1.5707797763816E-03
5	3	20	2.8350579521516E-03
5	4	20	6.44330285126633E-03
5	5	20	9.76042391857577E-03
5	6	20	1.51686935831083E-02
5	7	20	3.31482274738466E-02
5	8	20	5.18838924041313E-02
5	9	20	7.76204060641808E-02
5	10	20	0.107587229376477
5	11	20	0.135456272489519
5	12	20	0.167327311198012
5	13	20	0.198147209041301
5	14	20	0.229529513803043
5	15	20	0.261379838131092
5	16	20	0.293750210016777
5	17	20	0.338039112736186
5	18	20	0.396654502490511
5	19	20	0.491898198431895
5	20	20	0.625667144461333
5	21	20	0.759019850649399
5	22	20	0.902081916694044
5	23	20	1.03534142603604
5	24	20	1.14460979998295
5	25	20	1.23104542100688
5	26	20	1.30186267409137
5	27	20	1.379380313333
5	28	20	1.47192566024476
5	29	20	1.56341489805631
5	30	20	1.65098318461394
5	31	20	1.74064652381896
5	0	22	-1.34146763055339E-02
5	1	22	-5.70137396687442E-03
5	2	22	-9.21527597502002E-04
5	3	22	3.89964633312951E-03
5	4	22	7.55206883103346E-03
5	5	22	1.10216670380796E-02
5	6	22	1.68603046414931E-02
5	7	22	0.03467029978224
5	8	22	5.23073538448808E-02
5	9	22	7.67150326122306E-02
5	10	22	0.10546086884154
5	11	22	0.131827624228248
5	12	22	0.162593279957073
5	13	22	0.192449364776513
5	14	22	0.223875565418027
5	15	22	0.255788682216975
5	16	22	0.289208787859347
5	17	22	0.335411509153206
5	18	22	0.397132592047139
5	19	22	0.496443788058092
5	20	22	0.632752005476364
5	21	22	0.766984366336537
5	22	22	0.908580588853765
5	23	22	1.03849027012776
5	24	22	1.1434335240168
5	25	22	1.22780726466929
5	26	22	1.29849922674226
5	27	22	1.37537633654984
5	28	22	1.46587137770431
5	29	22	1.55447452985369
5	30	22	1.64142292836548
5	31	22	1.7300815508669
5	0	24	-0.013308328229201
5	1	24	-5.71828700379434E-03
5	2	24	-2.69572264291902E-04
5	3	24	4.96848692095513E-03
5	4	24	8.63449031612242E-03
5	5	24	1.22831511813779E-02
5	6	24	1.85473843709326E-02
5	7	24	3.61774176214291E-02
5	8	24	0.052842162370328
5	9	24	7.59864182456142E-02
5	10	24	0.103492736858376
5	11	24	0.128538011005298
5	12	24	0.157729066341175
5	13	24	0.186451282116866
5	14	24	0.217700055952164
5	15	24	0.249538654316669
5	16	24	0.284638514939255
5	17	24	0.333602529437078
5	18	24	0.399411722525706
5	19	24	0.502196074901066
5	20	24	0.640666623451469
5	21	24	0.775214798112991
5	22	24	0.914691570436582
5	23	24	1.04090350680972
5	24	24	1.14159216035658
5	25	24	1.22359639162757
5	26	24	1.29397217742662
5	27	24	1.37009725356282
5	28	24	1.45831655459181
5	29	24	1.54397280859376
5	30	24	1.62968340062361
5	31	24	1.71675111027169
5	0	26	-0.013201980152868
5	1	26	-5.73739882760466E-03
5	2	26	3.84495198778465E-04
5	3	26	6.01057238449308E-03
5	4	26	9.68324783782704E-03
5	5	26	1.35447298312067E-02
5	6	26	2.02338410664587E-02
5	7	26	3.76274647966016E-02
5	8	26	5.36904736086259E-02
5	9	26	7.52911153488089E-02
5	10	26	0.10115339342613
5	11	26	0.125270849033843
5	12	26	0.152672733261773
5	13	26	0.180355053301514
5	14	26	0.211569637608261
5	15	26	0.24370925649628
5	16	26	0.281371178993958
5	17	26	0.334183786916856
5	18	26	0.40546410535381
5	19	26	0.50956764380592
5	20	26	0.649431856814342
5	21	26	0.783862262636289
5	22	26	0.920613573689139
5	23	26	1.04255329828756
5	24	26	1.13913933465713
5	25	26	1.21832765209897
5	26	26	1.28802530307841
5	27	26	1.36308254677307
5	28	26	1.4489841721981
5	29	26	1.53196123640286
5	30	26	1.61587462030636
5	31	26	1.70104871799892
5	0	28	-1.30956320765351E-02
5	1	28	-5.75867899594386E-03
5	2	28	1.03930322578004E-03
5	3	28	7.00391843090602E-03
5	4	28	1.07022101802014E-02
5	5	28	1.48062986751845E-02
5	6	28	2.19360760108659E-02
5	7	28	3.90130034740817E-02
5	8	28	5.43192135073484E-02
5	9	28	7.47302719768625E-02
5	10	28	9.82361808089808E-02
5	11	28	0.121533203136832
5	12	28	0.147096225318595
5	13	28	0.173954266218247
5	14	28	0.20575032972482
5	15	28	0.23878003329607
5	16	28	0.279995570501846
5	17	28	0.337583561926561
5	18	28	0.41575478577095
5	19	28	0.520010818330332
5	20	28	0.659947449092666
5	21	28	0.793840350680096
5	22	28	0.927086069696343
5	23	28	1.04406907140838
5	24	28	1.1365780087246
5	25	28	1.21207631370064
5	26	28	1.28098581542982
5	27	28	1.35486288083882
5	28	28	1.43842780731533
5	29	28	1.51915900853539
5	30	28	1.60111093907707
5	31	28	1.68405398078374
5	0	30	-1.29892840002021E-02
5	1	30	-5.78209653226141E-03
5	2	30	1.6924040251309E-03
5	3	30	7.97471394896249E-03
5	4	30	1.16537625582471E-02
5	5	30	1.60677720798165E-02
5	6	30	2.36859670959645E-02
5	7	30	0.040357371825902
5	8	30	5.49157101067793E-02
5	9	30	7.44528178517148E-02
5	10	30	9.52909079146669E-02
5	11	30	0.117183152850073
5	12	30	0.140761242775508
5	13	30	0.167007614362883
5	14	30	0.199817953373978
5	15	30	0.234485842698891
5	16	30	0.280084852474979
5	17	30	0.342883557447189
5	18	30	0.428725694887772
5	19	30	0.53312386132082
5	20	30	0.671436279630842
5	21	30	0.804165926243124
5	22	30	0.932959029036387
5	23	30	1.04484491707731
5	24	30	1.1334754785128
5	25	30	1.20523888387125
5	26	30	1.27372103170857
5	27	30	1.34665744362714
5	28	30	1.42789374730142
5	29	30	1.50682582264963
5	30	30	1.58706733349703
5	31	30	1.6674104851193
5	0	32	-1.28829359238693E-02
5	1	32	-5.80762376957604E-03
5	2	32	2.33957084159032E-03
5	3	32	8.82955726573121E-03
5	4	32	1.25581371285652E-02
5	5	32	1.73338370719465E-02
5	6	32	2.53957541664655E-02
5	7	32	4.17258824667876E-02
5	8	32	0.055692149721154
5	9	32	7.44070472073438E-02
5	10	32	9.31432808934294E-02
5	11	32	0.112834960868981
5	12	32	0.134087384334293
5	13	32	0.159803194933288
5	14	32	0.193489636881682
5	15	32	0.230363696234827
5	16	32	0.280767268120069
5	17	32	0.348800757783079
5	18	32	0.441956447369854
5	19	32	0.546768672191713
5	20	32	0.681757091828298
5	21	32	0.812302337372401
5	22	32	0.935654781748038
5	23	32	1.0431193441095
5	24	32	1.12860440843135
5	25	32	1.19749453864798
5	26	32	1.26618705447367
5	27	32	1.33872364624126
5	28	32	1.41767910564066
5	29	32	1.49514917946601
5	30	32	1.57410312069237
5	31	32	1.65167454950469
5	0	34	-1.45735178161899E-02
5	1	34	-5.83525983660678E-03
5	2	34	2.97340356044781E-03
5	3	34	9.51896290929748E-03
5	4	34	1.34892154475949E-02
5	5	34	1.86299362141583E-02
5	6	34	2.71711055001224E-02
5	7	34	4.30707879261551E-02
5	8	34	5.66899787890813E-02
5	9	34	7.46547995479237E-02
5	10	34	9.18773418938873E-02
5	11	34	0.109331346867609
5	12	34	0.128226137627145
5	13	34	0.153478136406632
5	14	34	0.187612224193675
5	15	34	0.22676390429438
5	16	34	0.281561153476588
5	17	34	0.354675788099078
5	18	34	0.45366897039385
5	19	34	0.558790019880536
5	20	34	0.689459477820189
5	21	34	0.816124416438694
5	22	34	0.933250221998387
5	23	34	1.03718754712403
5	24	34	1.12090227542966
5	25	34	1.1883305276745
5	26	34	1.25768202704385
5	27	34	1.33036506658293
5	28	34	1.40724813861342
5	29	34	1.48357511427821
5	30	34	1.56146807511186
5	31	34	1.63651027530103
5	0	36	-1.42425534937761E-02
5	1	36	-5.86500925907255E-03
5	2	36	3.5816839103928E-03
5	3	36	1.02207218208395E-02
5	4	36	1.44080934664081E-02
5	5	36	1.98001769952115E-02
5	6	36	2.88076804875387E-02
5	7	36	4.42933681204825E-02
5	8	36	5.76915876498813E-02
5	9	36	7.51138865369643E-02
