Ship_SpeedSetting_kts	Wind_RWS	Wind_RWiA	Wind_WF_kts
5	0	0	-0.432350859091786
5	1	0	-0.333318574644431
5	2	0	-0.268223309627069
5	3	0	-0.205887523317836
5	4	0	-0.133978311707476
5	5	0	-6.21404707953878E-02
5	6	0	-5.04795055551341E-03
5	7	0	7.68964615310148E-02
5	8	0	0.183592683690878
5	9	0	0.290473542292916
5	10	0	0.39225784126795
5	11	0	0.480415359490015
5	12	0	0.556889346184356
5	13	0	0.691403898026006
5	14	0	0.902276769337195
5	15	0	1.15090361715045
5	16	0	1.39006504693218
5	17	0	1.58320561681827
5	18	0	1.76762727161659
5	19	0	1.95586589746078
5	20	0	2.16305975946904
5	21	0	2.38797493623644
5	22	0	2.60472245808355
5	23	0	2.80914145818051
5	24	0	3.00380007753903
5	25	0	3.19315204251168
5	26	0	3.3752127203506
5	27	0	3.55529781954617
5	28	0	3.73727144639181
5	29	0	3.92536776137146
5	30	0	4.11570097750085
5	31	0	4.29900266058177
5	0	2	-0.432018513334532
5	1	2	-0.335025689699603
5	2	2	-0.269106179530401
5	3	2	-0.203711138026059
5	4	2	-0.131663649411892
5	5	2	-5.82314141481743E-02
5	6	2	-2.1711569610803E-03
5	7	2	7.87063890739496E-02
5	8	2	0.180895484779889
5	9	2	0.285627934974091
5	10	2	0.385841594269206
5	11	2	0.471937916291867
5	12	2	0.548787831921155
5	13	2	0.680687313322474
5	14	2	0.887444711492684
5	15	2	1.13381537278278
5	16	2	1.37200653764709
5	17	2	1.56862284269968
5	18	2	1.75458822564073
5	19	2	1.9437104804192
5	20	2	2.15051991234292
5	21	2	2.37216966180213
5	22	2	2.5874676183592
5	23	2	2.79199436595203
5	24	2	2.98763969776888
5	25	2	3.1786069546364
5	26	2	3.36160654124747
5	27	2	3.54242732655872
5	28	2	3.7243772153517
5	29	2	3.91192687583056
5	30	2	4.10128340400202
5	31	2	4.28348660740625
5	0	4	-0.431686167577277
5	1	4	-0.336741630375247
5	2	4	-0.270025763551105
5	3	4	-0.201893979829996
5	4	4	-0.129341976643599
5	5	4	-5.43492911905217E-02
5	6	4	7.06077961131669E-04
5	7	4	8.06375199988913E-02
5	8	4	0.178340816409855
5	9	4	0.281044765628174
5	10	4	0.379847908433314
5	11	4	0.463850493389845
5	12	4	0.541263754315834
5	13	4	0.670629633145342
5	14	4	0.873108601377149
5	15	4	1.11711772330031
5	16	4	1.3541208059582
5	17	4	1.5543526434063
5	18	4	1.74159992619401
5	19	4	1.93171938274714
5	20	4	2.13837164541568
5	21	4	2.35668643529263
5	22	4	2.57052446113024
5	23	4	2.77510353071073
5	24	4	2.97161998680143
5	25	4	3.16407672882388
5	26	4	3.34787708956362
5	27	4	3.52933571747578
5	28	4	3.71125178877987
5	29	4	3.89826427895784
5	30	4	4.08675513734587
5	31	4	4.26801695363991
5	0	6	-0.431353821820023
5	1	6	-0.33846624355645
5	2	6	-0.270978555172233
5	3	6	-0.200473397031958
5	4	6	-0.127004108094877
5	5	6	-5.04938206114392E-02
5	6	6	3.57931100961376E-03
5	7	6	8.26494609478463E-02
5	8	6	0.175881161694685
5	9	6	0.276674220762552
5	10	6	0.374266016381682
5	11	6	0.45616771861847
5	12	6	0.534340417166548
5	13	6	0.661289452427341
5	14	6	0.859349436493616
5	15	6	1.10090525377819
5	16	6	1.33648374895614
5	17	6	1.54050222758422
5	18	6	1.72871578968593
5	19	6	1.91994245202738
5	20	6	2.12667353049909
5	21	6	2.34156960197725
5	22	6	2.55392869048834
5	23	6	2.75850375616964
5	24	6	2.95577694885125
5	25	6	3.1496014626005
5	26	6	3.33405414746994
5	27	6	3.51603440469501
5	28	6	3.69790784068622
5	29	6	3.88438852111658
5	30	6	4.07212092888107
5	31	6	4.25261079493478
5	0	8	-0.431021476062768
5	1	8	-0.340199367704247
5	2	8	-0.271959019116163
5	3	8	-0.199475232048622
5	4	8	-0.124639898363263
5	5	8	-0.046665007907092
5	6	8	6.44343742885602E-03
5	7	8	0.08469469244213
5	8	8	0.173453747695674
5	9	8	0.27243052467066
5	10	8	0.369044990311224
5	11	8	0.448877383494497
5	12	8	0.528008212137026
