Ship_SpeedSetting_kts	Wave_SWH	Wave_MWP	Wave_RWaA	Wave_WF_kts
5	0	1	0	0
5	0.25	1	0	1.58792783169904E-02
5	0.5	1	0	3.61707341960735E-02
5	0.75	1	0	6.52865451993421E-02
5	1	1	0	0.107638888888889
5	1.25	1	0	0.166331785731018
5	1.5	1	0	0.239236631948087
5	1.75	1	0	0.322916666666667
5	2	1	0	0.415475611816402
5	2.25	1	0	0.521179121677522
5	2.5	1	0	0.645833333333333
5	2.75	1	0	0.792443654965609
5	3	1	0	0.952812583496173
5	3.25	1	0	1.11594188694532
5	3.5	1	0	1.27083333333333
5	3.75	1	0	1.40931067219073
5	4	1	0	1.53448555922067
5	4.25	1	0	1.65229163163652
5	4.5	1	0	1.76866252665167
5	4.75	1	0	1.88953188147948
5	5	1	0	2.02083333333333
5	5.25	1	0	2.16625000509278
5	5.5	1	0	2.32046296851089
5	5.75	1	0	2.47590278100688
5	6	1	0	2.625
5	6.25	1	0	2.76171006906467
5	6.5	1	0	2.88608796273669
5	6.75	1	0	2.99971354170702
5	7	1	0	3.10416666666667
5	7.25	1	0	3.20129115258654
5	7.5	1	0	3.29398662573658
5	7.75	1	0	3.38541666666667
5	8	1	0	3.47811213981671
5	8.25	1	0	3.5720730451867
5	8.5	1	0	3.66666666666667
5	0	1	2	0
5	0.25	1	2	1.59014475461562E-02
5	0.5	1	2	3.61649436078288E-02
5	0.75	1	2	6.51525366315036E-02
5	1	1	2	0.107226275164075
5	1.25	1	2	0.165492428383031
5	1.5	1	2	0.238034152697467
5	1.75	1	2	0.32167882544202
5	2	1	2	0.414581725245247
5	2.25	1	2	0.520209737771829
5	2.5	1	2	0.643357650884039
5	2.75	1	2	0.786388875833169
5	3	1	2	0.941941323929932
5	3.25	1	2	1.10022153080283
5	3.5	1	2	1.25143603197997
5	3.75	1	2	1.38830765372168
5	4	1	2	1.51362436833688
5	4.25	1	2	1.63269043944407
5	4.5	1	2	1.75081012955728
5	4.75	1	2	1.87328770269662
5	5	1	2	2.00542742170246
5	5.25	1	2	2.15051850047632
5	5.5	1	2	2.30378996178595
5	5.75	1	2	2.45845577915907
5	6	1	2	2.60772992544565
5	6.25	1	2	2.74608955014972
5	6.5	1	2	2.87306449155304
5	6.75	1	2	2.98944776439059
5	7	1	2	3.0960323834978
5	7.25	1	2	3.19410458614049
5	7.5	1	2	3.2869234994278
5	7.75	1	2	3.37824147249766
5	8	1	2	3.47106038538334
5	8.25	1	2	3.56538023848647
5	8.5	1	2	3.66045056189915
5	0	1	4	0
5	0.25	1	4	1.59200175063072E-02
5	0.5	1	4	3.61517682189798E-02
5	0.75	1	4	6.50069852089897E-02
5	1	1	4	0.106797401744245
5	1.25	1	4	0.164630862282313
5	1.5	1	4	0.236799661322999
5	1.75	1	4	0.320392205134267
5	2	1	4	0.413614975177873
5	2.25	1	4	0.519146756288871
5	2.5	1	4	0.640784410268534
5	2.75	1	4	0.78025837339228
5	3	1	4	0.931033388415041
5	3.25	1	4	1.08450777438755
5	3.5	1	4	1.23207985016362
5	3.75	1	4	1.36736167546965
5	4	1	4	1.49282025957963
5	4.25	1	4	1.61313635377252
5	4.5	1	4	1.732990707161
5	4.75	1	4	1.85706407181179
5	5	1	4	1.9900371974776
5	5.25	1	4	2.13480865950948
5	5.5	1	4	2.28714833875749
5	5.75	1	4	2.44104394107921
5	6	1	4	2.5904831710029
5	6.25	1	4	2.73045891032729
5	6.5	1	4	2.85998472812081
5	6.75	1	4	2.9790793703285
5	7	1	4	3.08776158309231
5	7.25	1	4	3.18676877078152
5	7.5	1	4	3.27971297654461
5	7.75	1	4	3.37092490096965
5	8	1	4	3.463869105945
5	8.25	1	4	3.55854559225841
5	8.5	1	4	3.65408821963472
5	0	1	6	0
5	0.25	1	6	1.59313889284284E-02
5	0.5	1	6	0.036123823228922
5	0.75	1	6	6.48383480771251E-02
5	1	1	6	0.106336008934385
5	1.25	1	6	0.163724878676132
5	1.5	1	6	0.235501145700837
5	1.75	1	6	0.319008026660304
5	2	1	6	0.41250249811806
5	2.25	1	6	0.517896579651386
5	2.5	1	6	0.638016053320607
5	2.75	1	6	0.773976424334493
5	3	1	6	0.920052101002851
5	3.25	1	6	1.06880721742668
5	3.5	1	6	1.21280590742128
5	3.75	1	6	1.34652977765167
5	4	1	6	1.47213031507546
5	4.25	1	6	1.59367648114276
5	4.5	1	6	1.71523723416096
5	4.75	1	6	1.840881536723
5	5	1	6	1.9746783480648
5	5.25	1	6	2.11914214584191
5	5.5	1	6	2.27056948312199
5	5.75	1	6	2.42370243053524
