Ship_SpeedSetting_kts	Wave_SWH	Wave_MWP	Wave_RWaA	Wave_WF_kts
5	0	1	0	0
5	0.25	1	0	2.05580255973877E-02
5	0.5	1	0	4.60872854002648E-02
5	0.75	1	0	8.15590136141206E-02
5	1	1	0	0.131944444444444
5	1.25	1	0	0.20123473799753
5	1.5	1	0	0.289500767813513
5	1.75	1	0	0.395833333333333
5	2	1	0	0.518490953582201
5	2.25	1	0	0.652403025763946
5	2.5	1	0	0.791666666666667
5	2.75	1	0	0.93114702509168
5	3	1	0	1.06878138101699
5	3.25	1	0	1.2032750464338
5	3.5	1	0	1.33333333333333
5	3.75	1	0	1.45848082388639
5	4	1	0	1.58151918280594
5	4.25	1	0	1.70606934498452
5	4.5	1	0	1.83575224531469
5	4.75	1	0	1.974188818689
5	5	1	0	2.125
5	5.25	1	0	2.28973261817979
5	5.5	1	0	2.46163707288603
5	5.75	1	0	2.63188965781592
5	6	1	0	2.79166666666667
5	6.25	1	0	2.93403952264149
5	6.5	1	0	3.05966018994028
5	6.75	1	0	3.17107576226893
5	7	1	0	3.27083333333333
5	7.25	1	0	3.36168818113704
5	7.5	1	0	3.44722833286505
5	7.75	1	0	3.53125
5	8	1	0	3.61679015172801
5	8.25	1	0	3.70384878804907
5	8.5	1	0	3.79166666666667
5	0	1	2	0
5	0.25	1	2	2.03932048369613E-02
5	0.5	1	2	4.56898047406685E-02
5	0.75	1	2	8.07931947872809E-02
5	1	1	2	0.130606770052958
5	1.25	1	2	0.199088656323928
5	1.5	1	2	0.286415907991172
5	1.75	1	2	0.391820310083567
5	2	1	2	0.513601290722231
5	2.25	1	2	0.646328847310226
5	2.5	1	2	0.783640620167134
5	2.75	1	2	0.920133768507464
5	3	1	2	1.05424352486327
5	3.25	1	2	1.18536464015948
5	3.5	1	2	1.31289186522064
5	3.75	1	2	1.43683904675321
5	4	1	2	1.55969641260693
5	4.25	1	2	1.68457328676452
5	4.5	1	2	1.81457899270664
5	4.75	1	2	1.95282285416498
5	5	1	2	2.10241419457
5	5.25	1	2	2.26467376957345
5	5.5	1	2	2.433768057898
5	5.75	1	2	2.60207497018638
5	6	1	2	2.76197241587642
5	6.25	1	2	2.90727809717762
5	6.5	1	2	3.03756889679838
5	6.75	1	2	3.1538614896163
5	7	1	2	3.25717254850082
5	7.25	1	2	3.34918019454883
5	7.5	1	2	3.4342083393973
5	7.75	1	2	3.51724233989837
5	8	1	2	3.60227048514846
5	8.25	1	2	3.68929277213534
5	8.5	1	2	3.77731213129591
5	0	1	4	0
5	0.25	1	4	2.02300291968661E-02
5	0.5	1	4	4.52958318806284E-02
5	0.75	1	4	0.080033181556646
5	1	1	4	0.129277851730278
5	1.25	1	4	0.196955246568703
5	1.5	1	4	0.283349294642653
5	1.75	1	4	0.387833555043132
5	2	1	4	0.508748399193864
5	2.25	1	4	0.640301441932873
5	2.5	1	4	0.775667110086263
