Ship_SpeedSetting_kts	Wind_RWS	Wind_RWiA	Wind_WF_kts
5	0	0	-0.466942020936977
5	1	0	-0.355948399162498
5	2	0	-0.285947083705859
5	3	0	-0.220152593420664
5	4	0	-0.140812718389517
5	5	0	-6.38575113346363E-02
5	6	0	-4.1205283279969E-03
5	7	0	6.87013941623987E-02
5	8	0	0.16042357877054
5	9	0	0.252457338184294
5	10	0	0.338626333484152
5	11	0	0.410676021285623
5	12	0	0.473008071367365
5	13	0	0.587967532691503
5	14	0	0.787642923619589
5	15	0	1.03717268139071
5	16	0	1.29901506536527
5	17	0	1.53876758733485
5	18	0	1.78013481064117
5	19	0	2.01322937902797
5	20	0	2.24503755733401
5	21	0	2.47580652984038
5	22	0	2.68384932455874
5	23	0	2.86869261585079
5	24	0	3.0387879227237
5	25	0	3.20392680476509
5	26	0	3.36686244371867
5	27	0	3.53128106254166
5	28	0	3.6981867503604
5	29	0	3.87103911235048
5	30	0	4.04768797137003
5	31	0	4.22079829054728
5	0	2	-0.466471467406171
5	1	2	-0.357599963946
5	2	2	-0.286316690332642
5	3	2	-0.216745929420794
5	4	2	-0.137804221402494
5	5	2	-5.97849668596362E-02
5	6	2	-1.73945676465921E-03
5	7	2	6.96388194972606E-02
5	8	2	0.15804651028499
5	9	2	0.248618659931888
5	10	2	0.334386670255302
5	11	2	0.406048949929014
5	12	2	0.469926584725977
5	13	2	0.58290047697574
5	14	2	0.776397165283099
5	15	2	1.02013481422668
5	16	2	1.27661966369985
5	17	2	1.51558514840637
5	18	2	1.75587224383829
5	19	2	1.99162051572602
5	20	2	2.22918690449639
5	21	2	2.46337721900664
5	22	2	2.67358105477764
5	23	2	2.85797243737069
5	24	2	3.02624677700665
5	25	2	3.19048661919685
5	26	2	3.35410418100991
5	27	2	3.52061777896418
5	28	2	3.6897354818928
5	29	2	3.8634606099598
5	30	2	4.03906129815496
5	31	2	4.21035675357173
5	0	4	-0.466000913875365
5	1	4	-0.359262125399842
5	2	4	-0.286729776083503
5	3	4	-0.213748171605102
5	4	4	-0.134803473222475
5	5	4	-5.57479570930378E-02
5	6	4	6.41678812715759E-04
5	7	4	7.06577022926266E-02
5	8	4	0.155771783975092
5	9	4	0.244907507583757
5	10	4	0.33033934572883
5	11	4	0.401536563671219
5	12	4	0.467069849320022
5	13	4	0.578091149801512
5	14	4	0.765328414201567
5	15	4	1.00331272670919
5	16	4	1.25442850036618
5	17	4	1.49298239493248
5	18	4	1.73192623813404
5	19	4	1.97032631770813
5	20	4	2.21359120675449
5	21	4	2.45086664881515
5	22	4	2.66312517473734
5	23	4	2.84714869719226
5	24	4	3.0137452748926
5	25	4	3.17723768725989
5	26	4	3.34156596300492
5	27	4	3.51014165429853
5	28	4	3.6814706257346
5	29	4	3.8560346584689
5	30	4	4.03056817588465
5	31	4	4.20006934636122
5	0	6	-0.465530360344559
5	1	6	-0.360934711439371
5	2	6	-0.287182336308365
5	3	6	-0.211201143725794
5	4	6	-0.131800361293045
5	5	6	-5.17452896825216E-02
5	6	6	3.01935267024888E-03
5	7	6	7.17250050771204E-02
5	8	6	0.153578220263131
5	9	6	0.241314016387899
5	10	6	0.326508187553901
5	11	6	0.397175667547923
