Ship_SpeedSetting_kts	Wind_RWS	Wind_RWiA	Wind_WF_kts
5	0	0	-0.466884236237678
5	1	0	-0.355924013932149
5	2	0	-0.285969640276493
5	3	0	-0.220162267409507
5	4	0	-0.140813710153658
5	5	0	-0.063858742350791
5	6	0	-4.1248404774288E-03
5	7	0	6.91695637542052E-02
5	8	0	0.160874448963778
5	9	0	0.250578194805257
5	10	0	0.335713455171567
5	11	0	0.414046540915098
5	12	0	0.484210031242048
5	13	0	0.587294693705751
5	14	0	0.744163187570043
5	15	0	0.944142494054235
5	16	0	1.17841001304433
5	17	0	1.42666646434724
5	18	0	1.69789259639387
5	19	0	1.96334139995692
5	20	0	2.21996410437634
5	21	0	2.4669123952213
5	22	0	2.68138707115024
5	23	0	2.86351261213275
5	24	0	3.02597666694493
5	25	0	3.18329651687671
5	26	0	3.34144686154673
5	27	0	3.50448696532867
5	28	0	3.67200513467657
5	29	0	3.84603664028131
5	30	0	4.02359962983666
5	31	0	4.19746556044015
5	0	2	-0.466413630005221
5	1	2	-0.357575285046009
5	2	2	-0.286337670321015
5	3	2	-0.216755531154841
5	4	2	-0.137804528282487
5	5	2	-5.97861022763835E-02
5	6	2	-1.74313255178525E-03
5	7	2	7.00448816186081E-02
5	8	2	0.158454112536974
5	9	2	0.246944004975559
5	10	2	0.331724000050607
5	11	2	0.409221123282557
5	12	2	0.480495016375205
5	13	2	0.582028325003772
5	14	2	0.734082485084566
5	15	2	0.929478179131954
5	16	2	1.15948015084811
5	17	2	1.40776521655858
5	18	2	1.67784417084533
5	19	2	1.94481183660571
5	20	2	2.20469114660012
5	21	2	2.45246827557452
5	22	2	2.66770406384523
5	23	2	2.84968629822333
5	24	2	3.01160926181193
5	25	2	3.16937179958282
5	26	2	3.32889507106451
5	27	2	3.49406172173906
5	28	2	3.66341381469648
5	29	2	3.83779852249693
5	30	2	4.01382162007415
5	31	2	4.18547614350427
5	0	4	-0.465943023772765
5	1	4	-0.35923716560824
5	2	4	-0.286749166536986
5	3	4	-0.213757712192096
5	4	4	-0.134803056780632
5	5	4	-5.57489747204279E-02
5	6	4	6.38652036922591E-04
5	7	4	7.10056365751437E-02
5	8	4	0.156138293949183
5	9	4	0.243438839752237
5	10	4	0.32793502345157
5	11	4	0.404500518680869
5	12	4	0.476960422581534
5	13	4	0.576991042415846
5	14	4	0.724271160769877
5	15	4	0.915234190847249
5	16	4	1.14096342265626
5	17	4	1.38953283626912
5	18	4	1.65804734794971
5	19	4	1.92648015520284
5	20	4	2.1896172323553
5	21	4	2.4379774010119
5	22	4	2.65391899221811
5	23	4	2.83583698081187
5	24	4	2.99732475786354
5	25	4	3.1556415820342
5	26	4	3.31655067914487
5	27	4	3.48381420828416
5	28	4	3.65501207807141
5	29	4	3.82972869750144
5	30	4	4.00420258930214
5	31	4	4.1736727518998
5	0	6	-0.465472417540308
5	1	6	-0.360909483995889
5	2	6	-0.287200125709301
5	3	6	-0.211210637013063
5	4	6	-0.131799181651888
5	5	6	-5.17461699118133E-02
5	6	6	3.01698628612096E-03
5	7	6	7.20181938378587E-02
5	8	6	0.15390593519921
5	9	6	0.240050870510419
5	10	6	0.324367393350092
5	11	6	0.399923342119093
5	12	6	0.473651309223993
5	13	6	0.572238278874668
5	14	6	0.714797646848922
5	15	6	0.901494808366648
5	16	6	1.12293396794943
5	17	6	1.37209515684272
5	18	6	1.63856545360703
5	19	6	1.9084095310862
5	20	6	2.17481809582515
5	21	6	2.42349640852596
5	22	6	2.64007686965538
5	23	6	2.82200405647643
5	24	6	2.98316088422545
5	25	6	3.14214858055567
5	26	6	3.30444052907786
5	27	6	3.47374998952848
5	28	6	3.64680442438573
5	29	6	3.82182866662312
5	30	6	3.99474251370671
5	31	6	4.16206590104273
5	0	8	-0.465001811307852
5	1	8	-0.362592059307632
5	2	8	-0.287684177813501
5	3	8	-0.209143078970908
5	4	8	-0.128781534404787
5	5	8	-4.77767383750035E-02
5	6	8	5.38784010018258E-03
5	7	8	7.30406638142373E-02
5	8	8	0.151717092309469
5	9	8	0.236742310421866
5	10	8	0.321019590137044
5	11	8	0.395524325324405
5	12	8	0.470606716358649
5	13	8	0.567818830828364
5	14	8	0.705733237390148
5	15	8	0.888346296169663
5	16	8	1.10547320398385
5	17	8	1.35556364117187
5	18	8	1.61946983781479
5	19	8	1.89067265710079
5	20	8	2.16038421103495
5	21	8	2.4091077489412
5	22	8	2.62625049887421
5	23	8	2.80824749522166
5	24	8	2.96917064938933
5	25	8	3.12893751012176
5	26	8	3.29258729417552
5	27	8	3.4638650102849
5	28	8	3.63878496846578
5	29	8	3.81409233494411
5	30	8	3.98543364184388
5	31	8	4.15066047230519
5	0	10	-0.464531205075395
5	1	10	-0.364284668078196
5	2	10	-0.288193493295737
5	3	10	-0.207566097056009
5	4	10	-0.125740166130969
5	5	10	-0.043843748927421
5	6	10	7.7473346654276E-03
5	7	10	7.40510314184635E-02
5	8	10	0.149513891409117
5	9	10	0.23343899793861
5	10	10	0.317848436988349
5	11	10	0.391319068757072
5	12	10	0.467843981385812
5	13	10	0.563758427436847
5	14	10	0.697143256889957
5	15	10	0.875858615435926
5	16	10	1.08866058300854
5	17	10	1.34000552706841
5	18	10	1.60083390720621
5	19	10	1.8733442237408
5	20	10	2.14641404062892
5	21	10	2.39490568100081
5	22	10	2.61253168129794
5	23	10	2.79463827565054
5	24	10	2.95541286582216
5	25	10	3.11605535017153
5	26	10	3.28101167877926
5	27	10	3.45414996148306
5	28	10	3.63094158941015
5	29	10	3.80651341801555
5	30	10	3.97626865764039
5	31	10	4.13946380864292
5	0	12	-0.464060598842939
5	1	12	-0.365986941701893
5	2	12	-0.288718650414084
5	3	12	-0.206461687506571
5	4	12	-0.122670067857765
5	5	12	-3.99575759414118E-02
5	6	12	1.00940070698335E-02
5	7	12	7.50886171395112E-02
5	8	12	0.147227262989515
5	9	12	0.230014009877658
5	10	12	0.314727287094901
5	11	12	0.387264561540679
5	12	12	0.465308951328903
5	13	12	0.560000978928894
5	14	12	0.689022473987877
5	15	12	0.864000018284641
5	16	12	1.0725046071742
5	17	12	1.32533333539015
5	18	12	1.58268334848058
5	19	12	1.85645080710493
5	20	12	2.13295959887272
5	21	12	2.38095591816238
5	22	12	2.59900768395185
5	23	12	2.78123505616152
5	24	12	2.94192767946286
5	25	12	3.10350684585238
5	26	12	3.2696993140172
5	27	12	3.44457417710372
5	28	12	3.62324151097858
5	29	12	3.79907798442493
5	30	12	3.9672337655412
5	31	12	4.12846987170222
5	0	14	-0.463589992610482
5	1	14	-0.367698458828813
5	2	14	-0.289249190144889
5	3	14	-0.205761032310722
5	4	14	-0.11957695657055
5	5	14	-3.61313142972413E-02
5	6	14	1.24266706554061E-02
5	7	14	7.62504387343239E-02
5	8	14	0.144827950363106
5	9	14	0.226309950858085
5	10	14	0.311629155236409
5	11	14	0.383298475373726
5	12	14	0.463020881941714
5	13	14	0.556618368385575
5	14	14	0.681582501195736
5	15	14	0.853157379733952
5	16	14	1.05749624200551
5	17	14	1.31213062184022
5	18	14	1.5653194866881
5	19	14	1.84019284808445
5	20	14	2.12021794235622
5	21	14	2.36710969744935
5	22	14	2.58553569747889
5	23	14	2.76799410745433
5	24	14	2.92883277708401
5	25	14	3.09150898448646
5	26	14	3.2589051432256
5	27	14	3.43537863982367
5	28	14	3.6159470319946
5	29	14	3.79205235449685
5	30	14	3.95858082462039
5	31	14	4.11795659498952
5	0	16	-0.463119386378026
5	1	16	-0.369418776865362
5	2	16	-0.289773930419904
5	3	16	-0.205305514232187
5	4	16	-0.116484494881513
5	5	16	-3.23740067137901E-02
5	6	16	1.47443584586963E-02
5	7	16	7.76856143495794E-02
5	8	16	0.142656171336688
5	9	16	0.222516958232134
5	10	16	0.307544893826775
5	11	16	0.379749755734109
5	12	16	0.462414129560844
5	13	16	0.55741775629033
5	14	16	0.68235910131313
5	15	16	0.854227192826709
5	16	16	1.05717617688336
5	17	16	1.31671347389002
5	18	16	1.56259144957892
5	19	16	1.83709854746971
5	20	16	2.11898271879861
5	21	16	2.3609878420398
5	22	16	2.57850842433098
5	23	16	2.76160343921695
5	24	16	2.92431985079124
5	25	16	3.09026618589019
5	26	16	3.25805124574508
5	27	16	3.43407453016284
5	28	16	3.61622210709985
5	29	16	3.79178964322094
5	30	16	3.95605102301861
5	31	16	4.11452451011057
5	0	18	-0.462648780145569
5	1	18	-0.371147432943277
5	2	18	-0.290281846633732
5	3	18	-0.205040262508707
5	4	18	-0.113435369070849
5	5	18	-2.86900394319608E-02
5	6	18	1.70468462338335E-02
5	7	18	7.98293120486975E-02
5	8	18	0.141816199874883
5	9	18	0.217942845194273
5	10	18	0.301568396590704
5	11	18	0.374218837106908
5	12	18	0.460076490177519
5	13	18	0.558181217268014
5	14	18	0.685131321802846
5	15	18	0.858927156190642
5	16	18	1.06315354705663
5	17	18	1.32701004413707
5	18	18	1.5680325070172
5	19	18	1.8411807872991
5	20	18	2.12229032761849
5	21	18	2.35944710786763
5	22	18	2.57544104941179
5	23	18	2.75957376695074
5	24	18	2.92508751496559
5	25	18	3.09539050463612
5	26	18	3.26458179829382
5	27	18	3.44052963514832
5	28	18	3.62364346370338
5	29	18	3.79773229483181
5	30	18	3.95912896334421
5	31	18	4.11591417130465
5	0	20	-0.462178173913113
5	1	20	-0.372883947256863
5	2	20	-0.290762051436144
5	3	20	-0.204969468009708
5	4	20	-0.110492984242876
5	5	20	-2.50835852701053E-02
5	6	20	1.93354669976336E-02
5	7	20	8.20434357075138E-02
5	8	20	0.141270076284378
5	9	20	0.213099725518008
5	10	20	0.294892898689955
5	11	20	0.36672799536864
5	12	20	0.455646915361907
5	13	20	0.557778959234983
5	14	20	0.688285674377204
5	15	20	0.865333107831806
5	16	20	1.0729114414249
5	17	20	1.34012234887292
5	18	20	1.57851689588901
5	19	20	1.84920769839375
5	20	20	2.12714942993309
5	21	20	2.35998814647462
5	22	20	2.57427122945524
5	23	20	2.76003010765827
5	24	20	2.92925722396977
5	25	20	3.10473634993924
5	26	20	3.27683361542696
5	27	20	3.45363874478959
5	28	20	3.63702498553633
5	29	20	3.80871094514069
5	30	20	3.96671019243016
5	31	20	4.12061316819113
5	0	22	-0.461707567680656
5	1	22	-0.374627816227202
5	2	22	-0.291206413728711
5	3	22	-0.202058796909552
5	4	22	-0.107722554165511
5	5	22	-2.15638899718403E-02
5	6	22	0.02161499871275
5	7	22	8.40239953537386E-02
5	8	22	0.140620798770164
5	9	22	0.209119855506833
5	10	22	0.287895963456396
5	11	22	0.359050206477366
5	12	22	0.450558138097026
5	13	22	0.556764004007261
5	14	22	0.6916043899624
5	15	22	0.87247832866864
5	16	22	1.08468547557582
5	17	22	1.35440252721647
5	18	22	1.59123408180473
5	19	22	1.85821472256931
5	20	22	2.13150182901113
5	21	22	2.36019294786742
5	22	22	2.57302051410592
5	23	22	2.76118224607747
5	24	22	2.93498313105141
5	25	22	3.11614662627285
5	26	22	3.29233511062656
5	27	22	3.47080646681227
5	28	22	3.65385634550282
5	29	22	3.82246192735536
5	30	22	3.97660877735789
5	31	22	4.1266100213305
5	0	24	-0.4612369614482
5	1	24	-0.376378509564009
5	2	24	-0.291613202475393
5	3	24	-0.198733019364456
5	4	24	-0.105163575308963
5	5	24	-0.018140983840866
5	6	24	2.38975642888128E-02
5	7	24	8.56886428186315E-02
5	8	24	0.139524766854837
5	9	24	0.204486226553276
5	10	24	0.279726576333976
5	11	24	0.351838377355665
5	12	24	0.446617932624601
5	13	24	0.558134769669223
5	14	24	0.697205460598421
5	15	24	0.881730740367836
5	16	24	1.09938310328892
5	17	24	1.37095837657598
5	18	24	1.60599687857355
5	19	24	1.86677370739722
5	20	24	2.13449159959419
5	21	24	2.35888326058034
5	22	24	2.57074274038549
5	23	24	2.76205656026911
5	24	24	2.94126950423935
5	25	24	3.12826725515298
5	26	24	3.30888773862999
5	27	24	3.48920031331971
5	28	24	3.67152019665738
5	29	24	3.83673085208553
5	30	24	3.98668541386534
5	31	24	4.13226256677083
5	0	26	-0.460766355215743
5	1	26	-0.378135503137461
5	2	26	-0.291990980036996
5	3	26	-0.195922176266295
5	4	26	-0.102758414306198
5	5	26	-1.48195530228838E-02
5	6	26	2.62117319367573E-02
5	7	26	8.68891308356424E-02
5	8	26	0.138711668460198
5	9	26	0.198689442706291
5	10	26	0.269225680453942
5	11	26	0.344057025007068
5	12	26	0.444147107423994
5	13	26	0.562834570743646
5	14	26	0.708501742220822
5	15	26	0.896947644118302
5	16	26	1.12109155738599
5	17	26	1.3929396411097
5	18	26	1.62629586279858
5	19	26	1.8758600543615
5	20	26	2.13657149867175
5	21	26	2.35722427698647
5	22	26	2.56893236649596
5	23	26	2.76384716278959
5	24	26	2.94905759799425
5	25	26	3.1405336072004
5	26	26	3.32513701232276
5	27	26	3.50672666461788
5	28	26	3.68792604207278
5	29	26	3.84979277943615
5	30	26	3.99545033914304
5	31	26	4.13651859727642
5	0	28	-0.460295748983286
5	1	28	-0.379898384372717
5	2	28	-0.292358712615264
5	3	28	-0.194536879661418
5	4	28	-0.100097246144207
5	5	28	-0.011589729079903
5	6	28	2.86156791267275E-02
5	7	28	8.75428284276178E-02
5	8	28	0.137261592558717
5	9	28	0.19255968894465
