Ship_SpeedSetting_kts	Wave_SWH	Wave_MWP	Wave_RWaA	Wave_WF_kts
5	0	1	0	0
5	0.25	1	0	2.28767446630324E-02
5	0.5	1	0	5.11861247941852E-02
5	0.75	1	0	9.03607758615787E-02
5	1	1	0	0.145833333333333
5	1.25	1	0	0.222041440817217
5	1.5	1	0	0.319442769822975
5	1.75	1	0	0.4375
5	2	1	0	0.574370851257333
5	2.25	1	0	0.722993209276831
5	2.5	1	0	0.875
5	2.75	1	0	1.02307316015746
5	3	1	0	1.16409066637668
5	3.25	1	0	1.29597950607422
5	3.5	1	0	1.41666666666667
5	3.75	1	0	1.52563253351211
5	4	1	0	1.62857109460014
5	4.25	1	0	1.73272973586184
5	4.5	1	0	1.84535584322832
5	4.75	1	0	1.97369680263068
5	5	1	0	2.125
5	5.25	1	0	2.30259694446189
5	5.5	1	0	2.49415562736491
5	5.75	1	0	2.68342816325215
5	6	1	0	2.85416666666667
5	6.25	1	0	2.99458696138269
5	6.5	1	0	3.11075970437378
5	6.75	1	0	3.21321926184464
5	7	1	0	3.3125
5	7.25	1	0	3.41686975693813
5	7.5	1	0	3.52553024956163
5	7.75	1	0	3.63541666666667
5	8	1	0	3.74407715929017
5	8.25	1	0	3.85151172743213
5	8.5	1	0	3.95833333333333
5	0	1	2	0
5	0.25	1	2	2.25982315093249E-02
5	0.5	1	2	5.05447905914965E-02
5	0.75	1	2	8.91880048224994E-02
5	1	1	2	0.143876201765767
5	1.25	1	2	0.218992326009444
5	1.5	1	2	0.315057785519818
5	1.75	1	2	0.431628605297301
5	2	1	2	0.566902429437765
5	2.25	1	2	0.71364338315174
5	2.5	1	2	0.863257210594602
5	2.75	1	2	1.00836801121671
5	3	1	2	1.14647330265376
5	3.25	1	2	1.27628895693274
5	3.5	1	2	1.39653084708475
5	3.75	1	2	1.50716022232914
5	4	1	2	1.61311985331473
5	4.25	1	2	1.72059788738067
5	4.5	1	2	1.83578247246854
5	4.75	1	2	1.96486175571667
5	5	1	2	2.11402388466503
5	5.25	1	2	2.28614725392273
5	5.5	1	2	2.47087123417645
5	5.75	1	2	2.65452544398528
5	6	1	2	2.82343950050262
5	6.25	1	2	2.96746917984798
5	6.5	1	2	3.09057488199799
5	6.75	1	2	3.20024316710032
5	7	1	2	3.30396059389692
5	7.25	1	2	3.40785931749036
5	7.5	1	2	3.51265386493256
5	7.75	1	2	3.61770436365235
5	8	1	2	3.7224989117974
5	8.25	1	2	3.82703750986975
5	8.5	1	2	3.93144813290574
5	0	1	4	0
5	0.25	1	4	2.23217119334428E-02
5	0.5	1	4	4.99077686829939E-02
5	0.75	1	4	8.80225150709157E-02
5	1	1	4	0.141930295894854
5	1.25	1	4	0.215959737945673
5	1.5	1	4	0.310696591209605
5	1.75	1	4	0.425790887684561
5	2	1	4	0.559480177903789
5	2.25	1	4	0.704352091255822
5	2.5	1	4	0.851581775369122
5	2.75	1	4	0.993732176889898
5	3	1	4	1.12891743579026
5	3.25	1	4	1.25663948928763
5	3.5	1	4	1.3764002765688
5	3.75	1	4	1.48864187042307
5	4	1	4	1.59756690035846
5	4.25	1	4	1.70831813047019
5	4.5	1	4	1.8260383260351
5	4.75	1	4	1.95587025075452
5	5	1	4	2.10295666911756
5	5.25	1	4	2.26972621516557
5	5.5	1	4	2.44775098741443
5	5.75	1	4	2.62588895550774
5	6	1	4	2.79299808633203
5	6.25	1	4	2.94054362992058
5	6.5	1	4	3.07041994891847
5	6.75	1	4	3.18712869148081
5	7	1	4	3.29517150300555
5	7.25	1	4	3.39858894370789
5	7.5	1	4	3.49957721503003
5	7.75	1	4	3.5998714411088
5	8	1	4	3.70085971380948
5	8.25	1	4	3.80254203411677
5	8.5	1	4	3.90457137822736
5	0	1	6	0
5	0.25	1	6	2.20491795132117E-02
5	0.5	1	6	4.92793713628635E-02
5	0.75	1	6	8.68715878943234E-02
5	1	1	6	0.140006841417247
5	1.25	1	6	0.212960203369908
5	1.5	1	6	0.30638297688528
5	1.75	1	6	0.42002052425174
5	2	1	6	0.552150266940999
5	2.25	1	6	0.695177867818253
5	2.5	1	6	0.840041048503481
5	2.75	1	6	0.979234971790963
5	3	1	6	1.11148456264559
5	3.25	1	6	1.23707218463523
5	3.5	1	6	1.35628020418478
5	3.75	1	6	1.47003143707079
5	4	1	6	1.58181052406045
5	4.25	1	6	1.6957425567011
5	4.5	1	6	1.81595262825433
5	4.75	1	6	1.94656582969607
5	5	1	6	2.09170725314509
5	5.25	1	6	2.25336247997242
5	5.5	1	6	2.42495903350529
5	5.75	1	6	2.59778492860884
5	6	1	6	2.76312817614836
