Ship_SpeedSetting_kts	Wind_RWS	Wind_RWiA	Wind_WF_kts
5	0	0	-0.432385304943937
5	1	0	-0.333273190503648
5	2	0	-0.268289991570981
5	3	0	-0.205892773297512
5	4	0	-0.133996198536326
5	5	0	-6.21613890030763E-02
5	6	0	-5.01620447117282E-03
5	7	0	7.73905641960791E-02
5	8	0	0.185743078061962
5	9	0	0.295207842874649
5	10	0	0.399693711829383
5	11	0	0.488635442361703
5	12	0	0.564389421078013
5	13	0	0.70216385580055
5	14	0	0.923752623398404
5	15	0	1.18685854356778
5	16	0	1.43857008694135
5	17	0	1.63920131813302
5	18	0	1.82357665928196
5	19	0	2.00731318836996
5	20	0	2.20778044731585
5	21	0	2.42794229393033
5	22	0	2.64518718952727
5	23	0	2.85698043230974
5	24	0	3.06230082340964
5	25	0	3.26303720100525
5	26	0	3.45030875235685
5	27	0	3.63087093998544
5	28	0	3.81010833079183
5	29	0	3.99352344225536
5	30	0	4.17802403020109
5	31	0	4.35593754149509
5	0	2	-0.432050071939303
5	1	2	-0.334977898472162
5	2	2	-0.269167310783334
5	3	2	-0.203723486902327
5	4	2	-0.13167582233868
5	5	2	-5.82504135218304E-02
5	6	2	-2.15382431613881E-03
5	7	2	7.91208457329809E-02
5	8	2	0.182778864953411
5	9	2	0.289898953560918
5	10	2	0.392442113802504
5	11	2	0.479041843933069
5	12	2	0.555227501401988
5	13	2	0.690780964660247
5	14	2	0.908476450685307
5	15	2	1.16891957896726
5	16	2	1.41828335722483
5	17	2	1.62009334834033
5	18	2	1.80445194877189
5	19	2	1.98830788742178
5	20	2	2.18897771211955
5	21	2	2.40693068713589
5	22	2	2.62371066764537
5	23	2	2.83607215776978
5	24	2	3.04237774053643
5	25	2	3.24420346824147
5	26	2	3.43185343697867
5	27	2	3.61283096856269
5	28	2	3.79223590579628
5	29	2	3.97624489729227
5	30	2	4.16169014235278
5	31	2	4.3404800707589
5	0	4	-0.43171483893467
5	1	4	-0.336691492220158
5	2	4	-0.270081181394094
5	3	4	-0.201913223936941
5	4	4	-0.129348164569884
5	5	4	-5.43662485392118E-02
5	6	4	7.09259551201091E-04
5	7	4	8.09770738245118E-02
5	8	4	0.179971902291519
5	9	4	0.28487033093492
5	10	4	0.385614031977918
5	11	4	0.469829718167355
5	12	4	0.546666233755438
5	13	4	0.680146437687361
5	14	4	0.893838432670948
5	15	4	1.15155320594567
5	16	4	1.39834843965954
5	17	4	1.60143880263758
5	18	4	1.78550630263412
5	19	4	1.96956814000194
5	20	4	2.17062949057994
5	21	4	2.38629044964476
5	22	4	2.60260687114121
5	23	4	2.81551962593329
5	24	4	3.02273038702077
5	25	4	3.22552773213103
5	26	4	3.41340786008201
5	27	4	3.59467872444947
5	28	4	3.77419975668721
5	29	4	3.95875427537008
5	30	4	4.14521567869001
5	31	4	4.32501087852368
5	0	6	-0.431379605930036
5	1	6	-0.338413820298237
5	2	6	-0.271028105409002
5	3	6	-0.2004993295888
5	4	6	-0.127004021194855
5	5	6	-5.05086290742963E-02
5	6	6	3.56870364417104E-03
5	7	6	8.29171495830629E-02
5	8	6	0.177272094141513
5	9	6	0.280070054777747
5	10	6	0.379196415162267
5	11	6	0.461013117611935
5	12	6	0.538735169062789
5	13	6	0.670330278610613
5	14	6	0.879923974752855
5	15	6	1.13484858847521
5	16	6	1.37882380859272
5	17	6	1.58332908640518
5	18	6	1.76678505678166
5	19	6	1.9511401087755
5	20	6	2.15279117898482
5	21	6	2.3660696895606
5	22	6	2.58191428617121
5	23	6	2.79535928039762
5	24	6	3.00339361883006
5	25	6	3.20704812845667
5	26	6	3.39499842980363
5	27	6	3.57642294703113
5	28	6	3.75601102888523
5	29	6	3.94105904908982
5	30	6	4.12860561120694
5	31	6	4.30954935756908
5	0	8	-0.431044372925402
5	1	8	-0.340144722884944
5	2	8	-0.272002562842839
5	3	8	-0.199507647556296
5	4	8	-0.124633234619654
5	5	8	-4.66775883974099E-02
5	6	8	6.4195184581617E-03
5	7	8	8.48921446706093E-02
5	8	8	0.17461293294499
5	9	8	0.275408855887052
5	10	8	0.373136096333216
5	11	8	0.452579337692699
5	12	8	0.53143040303499
5	13	8	0.661362806978439
5	14	8	0.866805033313144
5	15	8	1.11889071823472
5	16	8	1.35977469825328
5	17	8	1.56584508877359
5	18	8	1.74833937980243
5	19	8	1.93307027145065
5	20	8	2.13551407406964
5	21	8	2.3463216195436
5	22	8	2.56167751434675
5	23	8	2.77563259766907
5	24	8	2.98441011284066
5	25	8	3.18880453009541
5	26	8	3.37665776115186
5	27	8	3.55807902749547
5	28	8	3.73769150462185
5	29	8	3.92318481826142
5	30	8	4.11187627966154
5	31	8	4.29412376209687
5	0	10	-0.430709139920769
5	1	10	-0.341884003641539
5	2	10	-0.272997784254529
5	3	10	-0.198948248945549
5	4	10	-0.12222685275267
5	5	10	-0.042876949730909
5	6	10	9.2567969393372E-03
5	7	10	8.68775302331087E-02
5	8	10	0.171923133556888
5	9	10	0.270762495638609
5	10	10	0.367331407509145
5	11	10	0.444479978797652
5	12	10	0.524703983270693
5	13	10	0.653215410088358
5	14	10	0.854532932979024
5	15	10	1.10374107690638
5	16	10	1.34126649904218
5	17	10	1.54903393980072
5	18	10	1.73022202153773
5	19	10	1.9154007025084
5	20	10	2.11884487928354
5	21	10	2.32708816979876
5	22	10	2.54193598287086
5	23	10	2.75637444478262
5	24	10	2.96581917362455
5	25	10	3.17084024808997
5	26	10	3.35842619533871
5	27	10	3.53967140292665
5	28	10	3.71927523768375
5	29	10	3.90518404462905
5	30	10	4.09506315279535
5	31	10	4.27877779750577
5	0	12	-0.430373906916135
5	1	12	-0.3436313430996
5	2	12	-0.274005641328641
5	3	12	-0.198805187509597
5	4	12	-0.119780126308379
5	5	12	-3.91175835354871E-02
5	6	12	1.20782720584811E-02
5	7	12	0.08892159876249
5	8	12	0.169145030947263
5	9	12	0.265972572570306
5	10	12	0.361615912803623
5	11	12	0.436609522198959
5	12	12	0.518415599619199
5	13	12	0.645711796260692
5	14	12	0.843048512935711
5	15	12	1.08934230498266
5	16	12	1.32330924854024
5	17	12	1.53283132683647
5	18	12	1.71245173864841
5	19	12	1.89812964323686
5	20	12	2.10278214118746
5	21	12	2.3083554250882
5	22	12	2.52269498170064
5	23	12	2.73758473367212
5	24	12	2.94763106616789
5	25	12	3.15315823209789
5	26	12	3.34032067959856
5	27	12	3.52121803396854
5	28	12	3.7007932355421
5	29	12	3.8871346872709
5	30	12	4.07821720752009
5	31	12	4.26355342482714
5	0	14	-0.430038673911501
5	1	14	-0.345386376663942
5	2	14	-0.27501708869121
5	3	14	-0.199016556289079
5	4	14	-0.117297643240939
5	5	14	-0.035412899576258
5	6	14	1.48818812497371E-02
5	7	14	9.11421466645692E-02
5	8	14	0.166318588396563
5	9	14	0.260985683237699
5	10	14	0.356423444677825
5	11	14	0.42938599427068
5	12	14	0.51322845933812
5	13	14	0.639560550919162
5	14	14	0.83305541700974
5	15	14	1.07628679682273
5	16	14	1.3063410990485
5	17	14	1.51760355384753
5	18	14	1.69524317952363
5	19	14	1.88158148760803
5	20	14	2.08795006100335
5	21	14	2.29060209930478
5	22	14	2.50453487735069
5	23	14	2.71980525004872
5	24	14	2.93026722165829
5	25	14	3.13591807872216
5	26	14	3.32229798151126
5	27	14	3.50251708755705
5	28	14	3.68196939239484
5	29	14	3.86877253013145
5	30	14	4.06115192593392
5	31	14	4.2484323096847
5	0	16	-0.429703440906868
5	1	16	-0.347148721167161
5	2	16	-0.276022444171659
5	3	16	-0.199438874484208
5	4	16	-0.114799851763865
5	5	16	-3.17718008198786E-02
5	6	16	1.76657187636442E-02
5	7	16	9.37299509847764E-02
5	8	16	0.164095749073275
5	9	16	0.256771068695089
5	10	16	0.351816975290888
5	11	16	0.425328389476917
5	12	16	0.514479981558469
5	13	16	0.644848422027899
5	14	16	0.837807819265721
5	15	16	1.07743022552784
5	16	16	1.30139581488319
5	17	16	1.51460690614728
5	18	16	1.68852997991308
5	19	16	1.87706624790286
5	20	16	2.08734018180508
5	21	16	2.28698000123109
5	22	16	2.50070212257647
5	23	16	2.71552404792327
5	24	16	2.92457091467306
5	25	16	3.12779095893441
5	26	16	3.30969447758066
5	27	16	3.48634371015544
5	28	16	3.66574247792505
5	29	16	3.85306856631061
5	30	16	4.04723591589212
5	31	16	4.23911948608442
5	0	18	-0.429368207902234
5	1	18	-0.348917975647557
5	2	18	-0.277012141881971
5	3	18	-0.200015097570607
5	4	18	-0.112323907987498
5	5	18	-2.81977805118706E-02
5	6	18	2.04286401200782E-02
5	7	18	9.72834036113953E-02
5	8	18	0.163779772669517
5	9	18	0.251788838232375
5	10	18	0.34541705691765
5	11	18	0.41997114683803
5	12	18	0.515052312719921
5	13	18	0.651734544185267
5	14	18	0.845976688589136
5	15	18	1.08224646711548
5	16	18	1.3010922476647
5	17	18	1.5152837498262
5	18	18	1.68770193290626
5	19	18	1.87927015390466
5	20	18	2.0929573279742
5	21	18	2.29121043283317
5	22	18	2.50464785380608
5	23	18	2.71850111518592
5	24	18	2.92507091100549
5	25	18	3.12465778655489
5	26	18	3.30136785003333
5	27	18	3.47433729904377
5	28	18	3.65433448731927
5	29	18	3.84265696069454
5	30	18	4.0391111820151
5	31	18	4.23504754950074
5	0	20	-0.429032974897601
5	1	20	-0.350693724167076
5	2	20	-0.277976722924686
5	3	20	-0.200599228690283
5	4	20	-0.10992457268041
5	5	20	-2.46931161642422E-02
5	6	20	2.31713315141919E-02
5	7	20	0.101517856406363
5	8	20	0.164045141670809
5	9	20	0.246021514960322
5	10	20	0.338227748223869
5	11	20	0.412925653427958
5	12	20	0.513998490367693
5	13	20	0.657753924975175
5	14	20	0.854434807088189
5	15	20	1.08791771663397
5	16	20	1.30290303457071
5	17	20	1.51729845607716
5	18	20	1.69047631014035
5	19	20	1.88573219802499
5	20	20	2.10226216799679
5	21	20	2.30076722164144
5	22	20	2.51373344567371
5	23	20	2.72605855635612
5	24	20	2.92918622710866
5	25	20	3.12414969308315
5	26	20	3.29587246899499
5	27	20	3.46553942095072
5	28	20	3.64648108427242
5	29	20	3.83634020477138
5	30	20	4.03575500393735
5	31	20	4.23462028380617
5	0	22	-0.428697741892967
5	1	22	-0.352475530018725
5	2	22	-0.278909104552873
5	3	22	-0.198318509654511
5	4	22	-0.10765400248503
5	5	22	-2.12640350895608E-02
5	6	22	2.58990465390269E-02
5	7	22	0.105255891739147
5	8	22	0.164269110188817
5	9	22	0.241767905646219
5	10	22	0.330473028186
5	11	22	0.405792166998427
5	12	22	0.512630594568682
5	13	22	0.662650010814221
5	14	22	0.862362672786019
5	15	22	1.0926503305128
5	16	22	1.30488141578191
5	17	22	1.51911253404589
5	18	22	1.6947319402317
5	19	22	1.89400969612868
5	20	22	2.11328922677357
5	21	22	2.31294305088329
5	22	22	2.52520074828632
5	23	22	2.73550300798812
5	24	22	2.93446062943915
5	25	22	3.12398234547398
5	26	22	3.29115750991655
5	27	22	3.45804259039423
5	28	22	3.63998207439914
