Ship_SpeedSetting_kts	Wind_RWS	Wind_RWiA	Wind_WF_kts
5	0	0	-0.491114673496044
5	1	0	-0.38669569804207
5	2	0	-0.294916963372049
5	3	0	-0.2268105927458
5	4	0	-0.146348626496126
5	5	0	-7.79873140617303E-02
5	6	0	-1.47994053300421E-02
5	7	0	6.04746965326148E-02
5	8	0	0.141036458190068
5	9	0	0.226165465158789
5	10	0	0.308524483385351
5	11	0	0.394763862961227
5	12	0	0.477175335126077
5	13	0	0.553013509722865
5	14	0	0.607172091586393
5	15	0	0.687982046043757
5	16	0	0.855311037928442
5	17	0	1.12069777829647
5	18	0	1.45540361055295
5	19	0	1.77143340540467
5	20	0	2.04612876971038
5	21	0	2.29687680039242
5	22	0	2.52060458570224
5	23	0	2.72649173236971
5	24	0	2.91707624846933
5	25	0	3.09582777061152
5	26	0	3.2601180117267
5	27	0	3.41792598805364
5	28	0	3.57672480358098
5	29	0	3.74585537104549
5	30	0	3.92536031809141
5	31	0	4.10524191574929
5	0	2	-0.491172854470764
5	1	2	-0.389437012563286
5	2	2	-0.299406383336898
5	3	2	-0.229792282653952
5	4	2	-0.152533193531489
5	5	2	-8.21968319438376E-02
5	6	2	-1.52573438874769E-02
5	7	2	5.85717402597957E-02
5	8	2	0.134407453615572
5	9	2	0.215467508216385
5	10	2	0.295389550891679
5	11	2	0.379361187595779
5	12	2	0.460631015367705
5	13	2	0.534625503722745
5	14	2	0.587561706447103
5	15	2	0.668563776356101
5	16	2	0.836332964531372
5	17	2	1.10588969316221
5	18	2	1.4412413522534
5	19	2	1.76046536688064
5	20	2	2.0388739737504
5	21	2	2.28976398309945
5	22	2	2.51273711787284
5	23	2	2.71635449047603
5	24	2	2.90442458721554
5	25	2	3.08237108894006
5	26	2	3.24806449642059
5	27	2	3.40869147720816
5	28	2	3.56970780224901
5	29	2	3.73846579414216
5	30	2	3.91462057046623
5	31	2	4.0902137649551
5	0	4	-0.491231035445485
5	1	4	-0.392179046503321
5	2	4	-0.303936419261224
5	3	4	-0.233100053171172
5	4	4	-0.158735104615012
5	5	4	-8.63866686677416E-02
5	6	4	-1.57104705114969E-02
5	7	4	5.67433039517156E-02
5	8	4	0.128070348067481
5	9	4	0.205069597400028
5	10	4	0.282458726721073
5	11	4	0.364000275252735
5	12	4	0.444068709299285
5	13	4	0.516185320142361
5	14	4	0.568035678452325
5	15	4	0.649555063369312
5	16	4	0.817902255831723
5	17	4	1.09195817317778
5	18	4	1.42736613845977
5	19	4	1.74968408184567
5	20	4	2.03184655155916
5	21	4	2.2826580619903
5	22	4	2.50485405965448
5	23	4	2.70626340735531
5	24	4	2.89189162802558
5	25	4	3.06909345742715
5	26	4	3.23615044740418
5	27	4	3.39952497907765
5	28	4	3.56274442649871
5	29	4	3.73111868348023
5	30	4	3.90395871584458
5	31	4	4.07534130479065
5	0	6	-0.491289216420205
5	1	6	-0.39492147371613
5	2	6	-0.308503851580023
5	3	6	-0.236763137147951
5	4	6	-0.164943475416718
5	5	6	-9.05582211131313E-02
5	6	6	-1.61701252290034E-02
5	7	6	5.49460428292008E-02
5	8	6	0.122006382553857
5	9	6	0.194998055959688
5	10	6	0.269787942609956
5	11	6	0.348749464642866
5	12	6	0.427546353127969
5	13	6	0.497740453376779
5	14	6	0.548641443058268
5	15	6	0.631031647907881
5	16	6	0.800107230930143
5	17	6	1.0790643079213
5	18	6	1.41385621689988
5	19	6	1.73915942107649
5	20	6	2.02512838961226
5	21	6	2.2756121412927
5	22	6	2.49699909965244
5	23	6	2.69625680446895
5	24	6	2.87951398818136
5	25	6	3.05603651771091
5	26	6	3.22440287167945
5	27	6	3.39043353051811
5	28	6	3.55584118967687
5	29	6	3.72381746011469
5	30	6	3.89337525327282
5	31	6	4.06063431102477
5	0	8	-0.491347397394925
5	1	8	-0.397663953333509
5	2	8	-0.313103493140817
5	3	8	-0.24080106793588
5	4	8	-0.171145824788489
5	5	8	-9.47154202729627E-02
5	6	8	-1.66492283304047E-02
5	7	8	5.31354089461119E-02
5	8	8	0.116164427966344
5	9	8	0.18524561485368
5	10	8	0.257414014470622
5	11	8	0.33367784416792
5	12	8	0.411130089906639
5	13	8	0.479342567855339
5	14	8	0.529434679530811
5	15	8	0.613070941436512
5	16	8	0.783040713369426
5	17	8	1.06735321018153
5	18	8	1.40080128832832
5	19	8	1.72897427843904
5	20	8	2.01881436285053
5	21	8	2.26869894445808
5	22	8	2.4892358362798
5	23	8	2.68638822257195
5	24	8	2.86734069421647
5	25	8	3.04324449901753
5	26	8	3.21284872091424
5	27	8	3.38142161180643
5	28	8	3.54900307271428
5	29	8	3.71656582641671
5	30	8	3.88286768188569
5	31	8	4.04609854205752
5	0	10	-0.491405578369646
5	1	10	-0.400406116596475
5	2	10	-0.317729004639695
5	3	10	-0.245222053077691
5	4	10	-0.177330870624823
5	5	10	-9.88673256344113E-02
5	6	10	-1.71595777138225E-02
5	7	10	0.051292601510098
5	8	10	0.11046624307377
5	9	10	0.175750447213565
5	10	10	0.245322315491257
5	11	10	0.318827839139943
5	12	10	0.394875095511643
5	13	10	0.461031525347966
5	14	10	0.510477145146261
5	15	10	0.595734877075492
5	16	10	0.766789134209297
5	17	10	1.05691849054933
5	18	10	1.38829521661638
5	19	10	1.71921672375521
5	20	10	2.01300200243692
5	21	10	2.26200136553144
5	22	10	2.48164106073606
5	23	10	2.67671853741414
5	24	10	2.85542454729166
5	25	10	3.0307643399764
5	26	10	3.20151623643501
5	27	10	3.37249383342051
5	28	10	3.54223556130077
5	29	10	3.70937307538515
5	30	10	3.87243808732427
5	31	10	4.03174527519103
5	0	12	-0.491463759344366
5	1	12	-0.403147528069443
5	2	12	-0.322372895491072
5	3	12	-0.250016867585113
5	4	12	-0.183491977825935
5	5	12	-0.103030833113404
5	6	12	-1.77032458215921E-02
5	7	12	4.94521911219348E-02
5	8	12	0.104819097889821
5	9	12	0.166350287356322
5	10	12	0.233371710945367
5	11	12	0.304153463752868
5	12	12	0.378770632946771
5	13	12	0.442788799786365
5	14	12	0.491791678874561
5	15	12	0.578989730441121
5	16	12	0.751349254691788
5	17	12	1.04765721152504
5	18	12	1.37637536632908
5	19	12	1.70992622284584
5	20	12	2.00772783353809
5	21	12	2.25557446445608
5	22	12	2.47427817461095
5	23	12	2.66729096969569
5	24	12	2.84379720752721
5	25	12	3.01860272232999
5	26	12	3.19040418508742
5	27	12	3.36364198981959
5	28	12	3.53553410267887
5	29	12	3.70224945340445
5	30	12	3.86208781125051
