Ship_SpeedSetting_kts	Wave_SWH	Wave_MWP	Wave_RWaA	Wave_WF_kts
5	0	1	0	0
5	0.25	1	0	1.42432117653597E-02
5	0.5	1	0	3.25113610467977E-02
5	0.75	1	0	5.88293853603924E-02
5	1	1	0	9.72222222222222E-02
5	1.25	1	0	0.150476572862654
5	1.5	1	0	0.216426209149951
5	1.75	1	0	0.291666666666667
5	2	1	0	0.37443218337096
5	2.25	1	0	0.469511818416692
5	2.5	1	0	0.583333333333333
5	2.75	1	0	0.71971365417509
5	3	1	0	0.872026369906962
5	3.25	1	0	1.03103423401869
5	3.5	1	0	1.1875
5	3.75	1	0	1.33424371460677
5	4	1	0	1.47231459548628
5	4.25	1	0	1.60481915355194
5	4.5	1	0	1.73486389971718
5	4.75	1	0	1.86555534489539
5	5	1	0	2
5	5.25	1	0	2.13980790198548
5	5.5	1	0	2.28060319817935
5	5.75	1	0	2.41651356195022
5	6	1	0	2.54166666666667
5	6.25	1	0	2.65174341858074
5	6.5	1	0	2.74863763545485
5	6.75	1	0	2.83579636793487
5	7	1	0	2.91666666666667
5	7.25	1	0	2.99431839248993
5	7.5	1	0	3.07031264483683
5	7.75	1	0	3.14583333333333
5	8	1	0	3.22182758568023
5	8.25	1	0	3.29829540187752
5	8.5	1	0	3.375
5	0	1	2	0
5	0.25	1	2	1.41186803653085E-02
5	0.5	1	2	3.21831898612517E-02
5	0.75	1	2	5.81393576074818E-02
5	1	1	2	0.095933012742478
5	1.25	1	2	0.148324865228831
5	1.5	1	2	0.213335163842879
5	1.75	1	2	0.287799038227434
5	2	1	2	0.370008455612039
5	2.25	1	2	0.464082745755419
5	2.5	1	2	0.575598076454868
5	2.75	1	2	0.707820458914696
5	3	1	2	0.854775285520203
5	3.25	1	2	1.00817779236493
5	3.5	1	2	1.15974321614485
5	3.75	1	2	1.3030602581549
5	4	1	2	1.43921148126807
5	4.25	1	2	1.5711529127555
5	4.5	1	2	1.70184058149483
5	4.75	1	2	1.8342305135523
5	5	1	2	1.97127873860882
5	5.25	1	2	2.11442807073821
5	5.5	1	2	2.25906847856114
5	5.75	1	2	2.399076718003
5	6	1	2	2.52832954468797
5	6.25	1	2	2.6422674924013
5	6.5	1	2	2.74258619249488
5	6.75	1	2	2.83254505638945
5	7	1	2	2.91540349420044
5	7.25	1	2	2.9941444179843
5	7.5	1	2	3.0706447495217
5	7.75	1	2	3.14650491132944
5	8	1	2	3.22300524246521
5	8.25	1	2	3.30014574373227
5	8.5	1	2	3.37760632805681
5	0	1	4	0
5	0.25	1	4	1.39951026334499E-02
5	0.5	1	4	3.18572328475905E-02
5	0.75	1	4	5.74534182015729E-02
5	1	1	4	9.46506862914733E-02
5	1.25	1	4	0.146183943781135
5	1.5	1	4	0.210259628861515
5	1.75	1	4	0.28395205887442
5	2	1	4	0.365610776134504
5	2.25	1	4	0.458686235515159
5	2.5	1	4	0.56790411774884
5	2.75	1	4	0.695980406371721
5	3	1	4	0.837592306316365
5	3.25	1	4	0.985407325909861
5	3.5	1	4	1.13209297466092
5	3.75	1	4	1.27200579161807
5	4	1	4	1.40625844235635
5	4.25	1	4	1.53765262159674
5	4.5	1	4	1.66899002721119
5	4.75	1	4	1.80307235155746
5	5	1	4	1.94270129408299
5	5.25	1	4	2.08915059527227
5	5.5	1	4	2.23758218709205
5	5.75	1	4	2.38163004825726
5	6	1	4	2.51492815689203
5	6.25	1	4	2.63268281849431
5	6.5	1	4	2.7363896378673
5	6.75	1	4	2.82911655092981
5	7	1	4	2.91393149104047
5	7.25	1	4	2.99372746009957
5	7.5	1	4	3.07069774018372
5	7.75	1	4	3.14686067954792
5	8	1	4	3.22383095884433
5	8.25	1	4	3.30160857964842
5	8.5	1	4	3.37978986726763
5	0	1	6	0
5	0.25	1	6	1.38734322379762E-02
5	0.5	1	6	3.15357041776992E-02
5	0.75	1	6	5.67756554896672E-02
5	1	1	6	9.33821258979474E-02
5	1.25	1	6	0.144064594705695
5	1.5	1	6	0.207215114531567
5	1.75	1	6	0.280146377693842
5	2	1	6	0.361265193219739
5	2.25	1	6	0.453354850116927
5	2.5	1	6	0.560292755387685
5	2.75	1	6	0.684246639263583
5	3	1	6	0.820545537478368
5	3.25	1	6	0.962808809852189
5	3.5	1	6	1.10465581791941
5	3.75	1	6	1.24120930491136
5	4	1	6	1.37360555405763
5	4.25	1	6	1.50448422971337
5	4.5	1	6	1.63648500080496
5	4.75	1	6	1.77224752825913
5	5	1	6	1.91441148328789
5	5.25	1	6	2.06407783136897
5	5.5	1	6	2.21619275192119
5	5.75	1	6	2.36416372691446
5	6	1	6	2.50139823746159
5	6.25	1	6	2.62288064913223
5	6.5	1	6	2.72990285990449
5	6.75	1	6	2.8253336576417
5	7	1	6	2.91204182649303
5	7.25	1	6	2.99282453545667
5	7.5	1	6	3.07019250280004
5	7.75	1	6	3.14658482821115
5	8	1	6	3.22395279441171
5	8.25	1	6	3.30229640368734
5	8.5	1	6	3.38112782878646
5	0	1	8	0
5	0.25	1	8	1.37546228470799E-02
5	0.5	1	8	3.12208180234625E-02
5	0.75	1	8	5.61101578187663E-02
5	1	1	8	9.21342145906399E-02
5	1.25	1	8	0.141977604188637
5	1.5	1	8	0.204217131178744
5	1.75	1	8	0.27640264377192
5	2	1	8	0.356997755149129
5	2.25	1	8	0.448121151981737
5	2.5	1	8	0.552805287543839
5	2.75	1	8	0.672672300307701
5	3	1	8	0.803703084189134
5	3.25	1	8	0.940468219390605
5	3.5	1	8	1.07753828829154
5	3.75	1	8	1.21079978794981
5	4	1	8	1.34140289167839
5	4.25	1	8	1.47181368674307
5	4.5	1	8	1.60449826621485
5	4.75	1	8	1.74192271300557
5	5	1	8	1.88655312308886
5	5.25	1	8	2.03931213480964
5	5.5	1	8	2.19494860119768
5	5.75	1	8	2.34666792817608
5	6	1	8	2.48767552057941
5	6.25	1	8	2.6127522365875
5	6.5	1	8	2.72298074693885
5	6.75	1	8	2.82101918261091
5	7	1	8	2.90952566986438
5	7.25	1	8	2.99119266067649
5	7.5	1	8	3.0688499233478
5	7.75	1	8	3.14536154754149
5	8	1	8	3.2230188087615
5	8.25	1	8	3.30182170991044
5	8.5	1	8	3.3811974237673
5	0	1	10	0
5	0.25	1	10	1.36396281289535E-02
5	0.5	1	10	3.09147885567654E-02
5	0.75	1	10	5.54610135358719E-02
5	1	1	10	9.09138353982901E-02
5	1.25	1	10	0.13993375841609
5	1.5	1	10	0.201281189128753
5	1.75	1	10	0.27274150619487
5	2	1	10	0.352834510204061
5	2.25	1	10	0.443017703530603
5	2.5	1	10	0.545483012389741
5	2.75	1	10	0.661310532221493
5	3	1	10	0.787133051631584
5	3.25	1	10	0.918471529723805
5	3.5	1	10	1.05084692814853
5	3.75	1	10	1.18090623064846
5	4	1	10	1.30980053052513
5	4.25	1	10	1.43980694232353
5	4.5	1	10	1.57320258737956
5	4.75	1	10	1.71226457514503
5	5	1	10	1.85927003035128
5	5.25	1	10	2.01495586137559
5	5.5	1	10	2.17389816307065
5	5.75	1	10	2.32913282624359
5	6	1	10	2.47369574042823
5	6.25	1	10	2.60218883313258
5	6.5	1	10	2.71547818730275
5	6.75	1	10	2.8159959319232
5	7	1	10	2.90617419046078
5	7.25	1	10	2.98858885237994
5	7.5	1	10	3.06639088780417
5	7.75	1	10	3.14287502776133
5	8	1	10	3.22067706148783
5	8.25	1	10	3.2997969923791
5	8.5	1	10	3.37957586336415
5	0	1	12	0
5	0.25	1	12	1.35294017517895E-02
5	0.5	1	12	3.06198299494928E-02
5	0.75	1	12	5.48323109879857E-02
5	1	1	12	8.97278713496376E-02
5	1.25	1	12	0.137943843574181
5	1.5	1	12	0.198422798707303
5	1.75	1	12	0.269183614048913
5	2	1	12	0.348801506665919
5	2.25	1	12	0.438077067184538
5	2.5	1	12	0.538367228097826
5	2.75	1	12	0.650214477722378
5	3	1	12	0.770903544988639
5	3.25	1	12	0.896904716050485
5	3.5	1	12	1.02468827986158
5	3.75	1	12	1.15165762292238
5	4	1	12	1.27894854590435
5	4.25	1	12	1.40862994609245
5	4.5	1	12	1.54277072823779
5	4.75	1	12	1.68343978402576
5	5	1	12	1.83270602194049
5	5.25	1	12	1.99111136684815
5	5.5	1	12	2.1530898656892
5	5.75	1	12	2.31154859531845
5	6	1	12	2.45939463119081
5	6.25	1	12	2.59108169103992
5	6.5	1	12	2.70725006932858
5	6.75	1	12	2.81008671166433
5	7	1	12	2.9017785575885
5	7.25	1	12	2.98477012718795
5	7.5	1	12	3.06253628214627
5	7.75	1	12	3.13880945909303
5	8	1	12	3.21657561218482
5	8.25	1	12	3.29583474515472
5	8.5	1	12	3.37584035873103
5	0	1	14	0
5	0.25	1	14	1.34248973837804E-02
5	0.5	1	14	3.03381563735295E-02
5	0.75	1	14	5.42281385221092E-02
5	1	1	14	8.85832054734217E-02
5	1.25	1	14	0.136018645849038
5	1.5	1	14	0.195657470240101
5	1.75	1	14	0.265749616420265
5	2	1	14	0.344924792816088
5	2.25	1	14	0.433331805364557
5	2.5	1	14	0.53149923284053
5	2.75	1	14	0.639437279527774
5	3	1	14	0.755082669443218
5	3.25	1	14	0.875853753569342
5	3.5	1	14	0.999168885801919
5	3.75	1	14	1.12318295468662
5	4	1	14	1.24899701312253
5	4.25	1	14	1.37844864768752
5	4.5	1	14	1.51337545272825
5	4.75	1	14	1.65561500899602
5	5	1	14	1.80700491472186
5	5.25	1	14	1.96788100700864
5	5.5	1	14	2.13257213720247
5	5.75	1	14	2.29390540960216
5	6	1	14	2.44470792704989
5	6.25	1	14	2.57932206258197
5	6.5	1	14	2.69815128134874
5	6.75	1	14	2.8031143279201
5	7	1	14	2.8961299405538
5	7.25	1	14	2.97949350172141
5	7.5	1	14	3.05700699235127
5	7.75	1	14	3.13284903175896
5	8	1	14	3.21036252044663
5	8.25	1	14	3.28954746229867
5	8.5	1	14	3.36956812102192
5	0	1	16	0
5	0.25	1	16	1.33270686931185E-02
5	0.5	1	16	3.00719820007604E-02
5	0.75	1	16	0.053652584485244
5	1	1	16	8.74867207983819E-02
5	1.25	1	16	0.134168951426788
5	1.5	1	16	0.193000714052857
5	1.75	1	16	0.262460162395146
5	2	1	16	0.341230416935955
5	2.25	1	16	0.428814480491672
5	2.5	1	16	0.524920324790291
5	2.75	1	16	0.6290320803551
5	3	1	16	0.739738530178244
5	3.25	1	16	0.855404617479071
5	3.5	1	16	0.974395288340747
5	3.75	1	16	1.09561121585624
5	4	1	16	1.22009600748618
5	4.25	1	16	1.34942899674643
5	4.5	1	16	1.48518952478965
5	4.75	1	16	1.62895691940406
5	5	1	16	1.78231052556075
5	5.25	1	16	1.94536713763839
5	5.5	1	16	2.11239340575955
5	5.75	1	16	2.27619344329617
5	6	1	16	2.42957136218824
5	6.25	1	16	2.56680120003119
5	6.5	1	16	2.6880367116956
5	6.75	1	16	2.79490158677625
5	7	1	16	2.88901950866294
5	7.25	1	16	2.97251599260123
5	7.5	1	16	3.04952390439632
5	7.75	1	16	3.1246779359815
5	8	1	16	3.20168584586738
5	8.25	1	16	3.28054763787236
5	8.5	1	16	3.36033636139085
5	0	1	18	0
5	0.25	1	18	1.32368693479965E-02
5	0.5	1	18	2.98235210030705E-02
5	0.75	1	18	5.31097372243918E-02
5	1	1	18	8.64453003532577E-02
5	1.25	1	18	0.132405546493559
5	1.5	1	18	0.190468040471277
5	1.75	1	18	0.259335901059773
5	2	1	18	0.337744427306903
5	2.25	1	18	0.4245576549869
5	2.5	1	18	0.518671802119546
5	2.75	1	18	0.619052022921775
5	3	1	18	0.724939232376637
5	3.25	1	18	0.835643282978369
5	3.5	1	18	0.950474029849284
5	3.75	1	18	1.06907139634627
5	4	1	18	1.1923956043018
5	4.25	1	18	1.32173694290686
5	4.5	1	18	1.45838570836069
5	4.75	1	18	1.60363218459814
5	5	1	18	1.75876667132252
5	5.25	1	18	1.9236721145187
5	5.5	1	18	2.09260209950958
5	5.75	1	18	2.25840287060196
5	6	1	18	2.4139206707886
5	6.25	1	18	2.55341035566002
5	6.5	1	18	2.67676124870156
5	6.75	1	18	2.78527129431857
5	7	1	18	2.88023843122219
5	7.25	1	18	2.96359461644832
5	7.5	1	18	3.03980790425855
5	7.75	1	18	3.11398036198302
5	8	1	18	3.1901936480412
5	8.25	1	18	3.26844776593718
5	8.5	1	18	3.34772229099181
5	0	1	20	0
5	0.25	1	20	1.31552530166068E-02
5	0.5	1	20	2.95949875523446E-02
5	0.75	1	20	5.26036850865542E-02
5	1	1	20	8.54658271667884E-02
5	1.25	1	20	0.130739217235478
5	1.5	1	20	0.18807495982107
5	1.75	1	20	0.256397481500365
5	2	1	20	0.334492872210319
5	2.25	1	20	0.420593891271252
5	2.5	1	20	0.51279496300073
5	2.75	1	20	0.609550249945217
5	3	1	20	0.710752881221318
5	3.25	1	20	0.816655725265931
5	3.5	1	20	0.92751165269874
5	3.75	1	20	1.04369248607179
5	4	1	20	1.16604587887586
5	4.25	1	20	1.29553843580652
5	4.5	1	20	1.43313676738008
5	4.75	1	20	1.57980747392651
5	5	1	20	1.73651716887252
5	5.25	1	20	1.90289829343092
5	5.5	1	20	2.07324664660167
5	5.75	1	20	2.24052386572099
5	6	1	20	2.39769158703372
5	6.25	1	20	2.53904078174091
5	6.5	1	20	2.664179780699
5	6.75	1	20	2.77404625663282
5	7	1	20	2.86957787753781
5	7.25	1	20	2.9524863898836
5	7.5	1	20	3.02757987791513
5	7.75	1	20	3.1004404999859
5	8	1	20	3.17553398656223
5	8.25	1	20	3.25286034055451
5	8.5	1	20	3.3313031209788
5	0	1	22	0
5	0.25	1	22	1.30831733671418E-02
5	0.5	1	22	2.93885958204676E-02
5	0.75	1	22	5.21385164187329E-02
5	1	1	22	8.45551842677135E-02
5	1.25	1	22	0.129180749838674
5	1.5	1	22	0.185836982427944
5	1.75	1	22	0.253665552803141
5	2	1	22	0.331501799927587
5	2.25	1	22	0.416955751765744
5	2.5	1	22	0.507331105606281
5	2.75	1	22	0.600579904142845
5	3	1	22	0.697247581895208
