Ship_SpeedSetting_kts	Wind_RWS	Wind_RWiA	Wind_WF_kts
5	0	0	-0.491161970686708
5	1	0	-0.386709627851809
5	2	0	-0.294907296870585
5	3	0	-0.226801734798058
5	4	0	-0.146336820093742
5	5	0	-7.79807861091098E-02
5	6	0	-1.47880109821369E-02
5	7	0	6.17359101329706E-02
5	8	0	0.145453873202968
5	9	0	0.232614527947438
5	10	0	0.31667115198429
5	11	0	0.404673945604239
5	12	0	0.488124328151207
5	13	0	0.561629834370986
5	14	0	0.615757053558436
5	15	0	0.698337291062335
5	16	0	0.870686484877548
5	17	0	1.14343030862602
5	18	0	1.48553305203868
5	19	0	1.80660271027347
5	20	0	2.0836598334208
5	21	0	2.33416340460271
5	22	0	2.55673224411382
5	23	0	2.76065372945517
5	24	0	2.94897650132228
5	25	0	3.12539012565276
5	26	0	3.28795606846186
5	27	0	3.44476401308683
5	28	0	3.60352835778827
5	29	0	3.77397047117345
5	30	0	3.95600286151882
5	31	0	4.13855751726107
5	0	2	-0.491219939108189
5	1	2	-0.389450877343347
5	2	2	-0.299397010760239
5	3	2	-0.22978460430517
5	4	2	-0.152524956090307
5	5	2	-8.21901329476402E-02
5	6	2	-1.52477967559664E-02
5	7	2	5.96489478714469E-02
5	8	2	0.138452583861912
5	9	2	0.221702171740878
5	10	2	0.303536214690316
5	11	2	0.389555629236355
5	12	2	0.472422296933454
5	13	2	0.544894245644343
5	14	2	0.59756240678199
5	15	2	0.679681348437923
5	16	2	0.851979385301798
5	17	2	1.12913315843078
5	18	2	1.47244149799998
5	19	2	1.79727270293488
5	20	2	2.07812780739573
5	21	2	2.32865632827869
5	22	2	2.55007101568084
5	23	2	2.75126834753215
5	24	2	2.9366296520291
5	25	2	3.11196782382464
5	26	2	3.27585478233129
5	27	2	3.43550052472053
5	28	2	3.59646828176928
5	29	2	3.76631581634345
5	30	2	3.94451397182922
5	31	2	4.12223076577517
5	0	4	-0.491277907529669
5	1	4	-0.392192842544266
5	2	4	-0.30392732792581
5	3	4	-0.233093551974472
5	4	4	-0.158730504006635
5	5	4	-0.086379843324646
5	6	4	-1.57028164876255E-02
5	7	4	5.76510744115936E-02
5	8	4	0.131750299886914
5	9	4	0.2110461671241
5	10	4	0.29050653810983
5	11	4	0.374339176106196
5	12	4	0.456560018495568
5	13	4	0.528016010428627
5	14	4	0.579477487675951
5	15	4	0.661575957922296
