waveHeight	wavePeriod	value
0.5	6.5	0
1	6.5	0
1.5	6.5	0
2	6.5	0
2.5	6.5	0
3	6.5	0
3.5	6.5	0
4	6.5	2.36783017297743E-03
4.5	6.5	3.87704630433082E-03
5	6.5	6.34821205400215E-03
5.5	6.5	1.03944583374105E-02
6	6.5	1.70197156630973E-02
6.5	6.5	2.78678033861687E-02
7	6.5	4.56302843680306E-02
7.5	6.5	7.47142795094048E-02
8	6.5	0.122335936317777
8.5	6.5	0.200310856412172
9	6.5	0.327985712165159
9.5	6.5	0.537038427728223
10	6.5	0.879337916743066
10.5	6.5	1.11086966523128
11	6.5	1.37985677653984
11.5	6.5	1.68794708418797
12	6.5	2.03633183892637
12.5	6.5	2.42574722613234
13	6.5	2.85648915012351
13.5	6.5	3.32843848595277
14	6.5	3.84109407892056
14.5	6.5	4.39361099589969
15	6.5	4.9848418415685
15.5	6.5	5.61337930049817
16	6.5	6.27759841883549
16.5	6.5	6.97569747403015
0.5	7	0
1	7	0
1.5	7	0
2	7	0
2.5	7	0
3	7	0
3.5	7	0
4	7	2.0136276150547E-03
4.5	7	3.32190746681826E-03
5	7	5.48019362448162E-03
5.5	7	9.04074615617584E-03
6	7	1.49146356244191E-02
6.5	7	2.46048668955534E-02
7	7	4.05909664971435E-02
7.5	7	6.69634413454186E-02
8	7	0.110470453497009
8.5	7	0.182244532996506
9	7	0.300651158348091
9.5	7	0.495988096486724
10	7	0.818237964583867
10.5	7	1.03736405262449
11	7	1.29281013430995
11.5	7	1.58632111895076
12	7	1.91920142618074
12.5	7	2.29231192902539
13	7	2.70608040718427
13.5	7	3.1605228695039
14	7	3.65527312235956
14.5	7	4.18961813350421
15	7	4.76253701043108
15.5	7	5.37274173146599
16	7	6.01871810137068
16.5	7	6.69876572648909
0.5	7.5	0
1	7.5	0
1.5	7.5	0
2	7.5	0
2.5	7.5	0
3	7.5	0
3.5	7.5	0
4	7.5	1.69197939915579E-03
4.5	7.5	2.75654091951527E-03
5	7.5	4.49090446653982E-03
5.5	7.5	7.31649684022606E-03
6	7.5	1.19198986333109E-02
6.5	7.5	1.94196739957886E-02
7	7.5	0.031638166540176
7.5	7.5	5.15443041031992E-02
8	7.5	0.083975007910439
8.5	7.5	0.136810498778673
9	7.5	0.222889083809692
9.5	7.5	0.363126690751223
10	7.5	0.591599154530693
10.5	7.5	0.9638221826035
11	7.5	1.20542236034496
11.5	7.5	1.48397223528061
12	7.5	1.80088834057776
12.5	7.5	2.15715697689233
13	7.5	2.55334015695
13.5	7.5	2.98959277927656
14	7.5	3.46568852411139
14.5	7.5	3.98105208283025
15	7.5	4.53479555847099
15.5	7.5	5.12575716193003
16	7.5	5.75254063962969
16.5	7.5	6.41355417766262
0.5	8	0
1	8	0
1.5	8	0
2	8	0
2.5	8	0
3	8	0
3.5	8	0
4	8	1.40474756404146E-03
4.5	8	2.30758072239429E-03
5	8	3.79066597207396E-03
5.5	8	6.22693211656334E-03
6	8	1.02289898054704E-02
6.5	8	1.68031753810356E-02
7	8	0.027602598913027
7.5	8	4.53428265477332E-02
8	8	7.44847224645759E-02
8.5	8	0.122356154281305
9	8	0.200994620039439
9.5	8	0.330174134044119
10	8	0.542377496324993
10.5	8	0.890964246401136
11	8	1.11852964003761
11.5	8	1.38185615044773
12	8	1.68246964584525
12.5	8	2.02148093621838
13	8	2.39958707932237
13.5	8	2.81708422073234
14	8	3.27388959820733
14.5	8	3.76957040135281
15	8	4.30337735714856
15.5	8	4.87428116320445
