waveHeight	wavePeriod	value
0.5	6.5	0
1	6.5	0
1.5	6.5	0
2	6.5	0
2.5	6.5	0
3	6.5	0
3.5	6.5	0
4	6.5	0
4.5	6.5	0
5	6.5	0
5.5	6.5	0
6	6.5	1.28354969675781E-03
6.5	6.5	2.8667929343511E-03
7	6.5	6.40294781667195E-03
7.5	6.5	1.43009075583284E-02
8	6.5	3.19409064149074E-02
8.5	6.5	7.13396334075125E-02
9	6.5	0.159336220099971
9.5	6.5	0.355875546636507
10	6.5	0.79484378764835
10.5	6.5	1.09126437686221
11	6.5	1.45369549605567
11.5	6.5	1.88592490206652
12	6.5	2.39031164673655
12.5	6.5	2.96781506044582
13	6.5	3.61808835082657
13.5	6.5	4.339616720516
14	6.5	5.12988185880819
14.5	6.5	5.98553772140166
15	6.5	6.90258592457217
15.5	6.5	7.87654235723217
16	6.5	8.90258948533785
16.5	6.5	9.97571117295384
17	6.5	11.0908086594177
0.5	7	0
1	7	0
1.5	7	0
2	7	0
2.5	7	0
3	7	0
3.5	7	0
4	7	0
4.5	7	0
5	7	0
5.5	7	0
6	7	0
6.5	7	0.002712559917473
7	7	5.62996603453499E-03
7.5	7	1.16850939755631E-02
8	7	2.42526189998618E-02
8.5	7	5.03367392322676E-02
9	7	0.104474791631854
9.5	7	0.216839275904516
10	7	0.450053748281022
10.5	7	0.93409450615851
11	7	1.25667035292782
11.5	7	1.64499205491111
12	7	2.10202094686277
12.5	7	2.6293865854256
13	7	3.22744284470303
13.5	7	3.89537415993598
14	7	4.63133463816891
14.5	7	5.43260498038163
15	7	6.29575503075525
15.5	7	7.21680274518924
16	7	8.19136312017821
16.5	7	9.21478297238804
17	7	10.2822593481271
0.5	7.5	0
1	7.5	0
1.5	7.5	0
2	7.5	0
2.5	7.5	0
3	7.5	0
3.5	7.5	0
4	7.5	0
4.5	7.5	0
5	7.5	0
5.5	7.5	0
6	7.5	0
6.5	7.5	1.86277200322138E-03
7	7.5	3.96844927804244E-03
7.5	7.5	8.45438392093117E-03
8	7.5	1.80112186082312E-02
8.5	7.5	3.83710982121761E-02
9	7.5	8.17457835604526E-02
9.5	7.5	0.174151208624826
10	7.5	0.371011716378731
10.5	7.5	0.790403321212834
11	7.5	1.07469184918162
11.5	7.5	1.42038518420869
12	7.5	1.83098557442759
12.5	7.5	2.3087508031307
13	7.5	2.85471233556346
13.5	7.5	3.46874797983579
14	7.5	4.14969314201773
14.5	7.5	4.89547606224609
15	7.5	5.70326464740668
15.5	7.5	6.56961509403264
16	7.5	7.49061503870362
16.5	7.5	8.46201625666921
17	7.5	9.47935384475943
0.5	8	0
1	8	0
1.5	8	0
2	8	0
2.5	8	0
3	8	0
3.5	8	0
4	8	0
4.5	8	0
5	8	0
5.5	8	0
6	8	0
6.5	8	1.24647489885936E-03
7	8	2.59293820414255E-03
7.5	8	5.39387398547252E-03
8	8	1.12204280551986E-02
8.5	8	2.33409245527374E-02
9	8	4.85541867294596E-02
9.5	8	0.101003241908117
10	8	0.210108655156607
10.5	8	0.43707158441387
11	8	0.909203715380803
11.5	8	1.21409139700681
12	8	1.57978569561679
12.5	8	2.00911448217154
13	8	2.50374758136357
13.5	8	3.06423507458356
14	8	3.69008887413678
14.5	8	4.37989383528757
15	8	5.13143617560585
15.5	8	5.94183905910209
16	8	6.80769745581658
16.5	8	7.72520653395084
17	8	8.69027972837782
0.5	8.5	0
1	8.5	0
1.5	8.5	0
2	8.5	0
2.5	8.5	0
3	8.5	0
3.5	8.5	0
