waveHeight	wavePeriod	value
0.5	6.5	0
1	6.5	0
1.5	6.5	0
2	6.5	0
2.5	6.5	0
3	6.5	0
3.5	6.5	0
4	6.5	0
4.5	6.5	0
5	6.5	1.59705509353435E-03
5.5	6.5	2.70492730768984E-03
6	6.5	4.58132707475621E-03
6.5	6.5	7.75937959819694E-03
7	6.5	1.31420373979997E-02
7.5	6.5	2.22586283844854E-02
8	6.5	3.76993705431115E-02
8.5	6.5	6.38513081218179E-02
9	6.5	0.108144764491626
9.5	6.5	0.183164455529032
10	6.5	0.310225075868972
10.5	6.5	0.525427258361573
11	6.5	0.889914534007438
11.5	6.5	1.25439831031396
12	6.5	1.70543838623319
12.5	6.5	2.24737694984784
13	6.5	2.88225713452138
13.5	6.5	3.60995700757696
14	6.5	4.42842672959089
14.5	6.5	5.33398557770561
15	6.5	6.3216431182998
15.5	6.5	7.3854176795535
16	6.5	8.51863374699058
16.5	6.5	9.71418712373813
0.5	7	0
1	7	0
1.5	7	0
2	7	0
2.5	7	0
3	7	0
3.5	7	0
4	7	0
4.5	7	0
5	7	1.09323657051618E-03
5.5	7	1.88539657655515E-03
6	7	3.25155629326185E-03
6.5	7	5.60763632422004E-03
7	7	9.67093364179983E-03
7.5	7	1.66784991209473E-02
8	7	2.87637515911719E-02
8.5	7	4.96059867017372E-02
9	7	8.55505203781617E-02
9.5	7	0.147540489033714
10	7	0.254448433604904
10.5	7	0.438821951777552
11	7	0.756792653952298
11.5	7	1.07939457937223
12	7	1.48305979068628
12.5	7	1.97292713493503
13	7	2.55197249057908
13.5	7	3.22107179867848
14	7	3.97917783942136
14.5	7	4.82357000152316
15	7	5.75014157677638
15.5	7	6.75369653622588
16	7	7.82823547617905
16.5	7	8.96721739890635
0.5	7.5	0
1	7.5	0
1.5	7.5	0
2	7.5	0
2.5	7.5	0
3	7.5	0
3.5	7.5	0
4	7.5	0
4.5	7.5	0
5	7.5	0
5.5	7.5	2.6118930532469E-03
6	7.5	4.25729143955953E-03
6.5	7.5	6.93923144319244E-03
7	7.5	1.13106968845837E-02
7.5	7.5	1.84360278313581E-02
8	7.5	3.00500601923008E-02
8.5	7.5	0.048980513905765
9	7.5	0.079836470446988
9.5	7.5	0.130130566324715
10	7.5	0.212108127991898
10.5	7.5	0.345728595754851
11	7.5	0.563525137175259
11.5	7.5	0.918525641580336
12	7.5	1.27639962052658
12.5	7.5	1.71536355573955
13	7.5	2.2392570000222
13.5	7.5	2.84991557133227
14	7.5	3.54728466521928
14.5	7.5	4.3296175728416
15	7.5	5.19372375344501
15.5	7.5	6.13523873216363
16	7.5	7.14889383461164
16.5	7.5	8.22877049799603
0.5	8	0
1	8	0
1.5	8	0
2	8	0
2.5	8	0
3	8	0
3.5	8	0
4	8	0
4.5	8	0
5	8	0
5.5	8	1.77165594416152E-03
6	8	2.94009810075425E-03
6.5	8	4.87915098331908E-03
7	8	8.09704761617184E-03
7.5	8	1.34372107611958E-02
8	8	2.22993171832378E-02
8.5	8	3.70061581734388E-02
9	8	6.14124518479417E-02
9.5	8	0.101915179206112
10	8	0.169130256813906
10.5	8	0.280675008303593
11	8	0.465785730893213
11.5	8	0.772980638408153
12	8	1.0872265573917
12.5	8	1.47710483937229
13	8	1.94722698228318
13.5	8	2.50032691555278
14	8	3.13731076729069
14.5	8	3.8574001520386
15	8	4.6583369657477
15.5	8	5.53662148192106
16	8	6.4877610556155
16.5	8	7.50651260800595
0.5	8.5	0
1	8.5	0
1.5	8.5	0
