waveHeight	wavePeriod	value
0.5	6.5	0
1	6.5	0
1.5	6.5	0
2	6.5	0
2.5	6.5	0
3	6.5	0
3.5	6.5	0
4	6.5	0
4.5	6.5	3.75263896939036E-03
5	6.5	5.47500689287876E-03
5.5	6.5	7.98789884174222E-03
6	6.5	1.16541456758527E-02
6.5	6.5	1.70031085927439E-02
7	6.5	2.48071124094205E-02
7.5	6.5	3.61929598189032E-02
8	6.5	5.28046279161171E-02
8.5	6.5	7.70406383813699E-02
9	6.5	0.112400374672415
9.5	6.5	0.1639893501915
10	6.5	0.239256381970321
10.5	6.5	0.349069108735912
11	6.5	0.509283145010521
11.5	6.5	1.00578874346893
12	6.5	1.75545910453217
12.5	6.5	2.78521171081562
13	6.5	4.1006426478172
13.5	6.5	5.68885671895716
14	6.5	7.52332907559626
14.5	6.5	9.56909357307034
15	6.5	11.7872710836149
15.5	6.5	14.1385405304682
16	6.5	16.5855243914814
16.5	6.5	19.0942426588433
17	6.5	21.6348496186013
0.5	7	0
1	7	0
1.5	7	0
2	7	0
2.5	7	0
3	7	0
3.5	7	0
4	7	0
4.5	7	2.4586898516099E-03
5	7	3.69145736084247E-03
5.5	7	5.54232468076257E-03
6	7	8.32120213356051E-03
6.5	7	1.24933866086757E-02
7	7	1.87574711500309E-02
7.5	7	2.81623177897909E-02
8	7	4.22826796293308E-02
8.5	7	6.34828784328515E-02
9	7	0.095312688066359
9.5	7	0.143101710739914
10	7	0.214851768763806
10.5	7	0.322576734423765
11	7	0.484314139884474
11.5	7	0.727145392277109
12	7	1.31997454889969
12.5	7	2.16357651417338
13	7	3.27351821197105
13.5	7	4.64745790256784
14	7	6.26847584600081
14.5	7	8.10943200936149
15	7	10.1372223524685
15.5	7	12.316338907048
16	7	14.6115336746284
16.5	7	16.9896194928993
17	7	19.4205494492744
0.5	7.5	0
1	7.5	0
1.5	7.5	0
2	7.5	0
2.5	7.5	0
3	7.5	0
3.5	7.5	0
4	7.5	0
4.5	7.5	1.57111666743594E-03
5	7.5	2.41156562378441E-03
5.5	7.5	3.70160210145934E-03
6	7.5	5.68172724905004E-03
6.5	7.5	8.72109525761038E-03
7	7.5	1.33863346757856E-02
7.5	7.5	2.05471848155503E-02
8	7.5	3.15386410148604E-02
8.5	7.5	4.84098374542993E-02
9	7.5	7.43060666833254E-02
9.5	7.5	0.114055155652179
10	7.5	0.175067516173104
10.5	7.5	0.268717665972819
11	7.5	0.412464776929147
11.5	7.5	0.633107583721049
12	7.5	0.971780464623669
12.5	7.5	1.64953455958595
13	7.5	2.56998389294299
13.5	7.5	3.74025768326152
14	7.5	5.15280402249779
14.5	7.5	6.78868411697935
15	7.5	8.62130965196872
15.5	7.5	10.6198881670563
16	7.5	12.7522215943077
16.5	7.5	14.9867657835643
17	7.5	17.2940072298708
0.5	8	0
1	8	0
1.5	8	0
2	8	0
2.5	8	0
3	8	0
3.5	8	0
4	8	0
4.5	8	0
5	8	6.20928717609893E-03
5.5	8	8.72569285041179E-03
6	8	1.22619092273265E-02
6.5	8	1.72312297117012E-02
7	8	2.42144409873561E-02
7.5	8	3.40277021512856E-02
8	8	4.78179328732474E-02
8.5	8	6.71968590210553E-02
9	8	9.44293822626074E-02
9.5	8	0.13269828924152
10	8	0.186476238070223
10.5	8	0.262048497863696
11	8	0.368247536218313
11.5	8	0.517485309155992
12	8	0.727203901870819
12.5	8	1.234314110706
13	8	1.98426121787457
13.5	8	2.96539924889139
14	8	4.17883346365407
14.5	8	5.61379169540027
