waveHeight	wavePeriod	value
0.5	6.5	0
1	6.5	0
1.5	6.5	0
2	6.5	0
2.5	6.5	0
3	6.5	0
3.5	6.5	0
4	6.5	0
4.5	6.5	0
5	6.5	1.18432522704049E-03
5.5	6.5	2.70663549721903E-03
6	6.5	6.18569591151305E-03
6.5	6.5	1.41366777865076E-02
7	6.5	0.032307708251157
7.5	6.5	7.38354532942734E-02
8	6.5	0.168742212254427
8.5	6.5	0.385640406147902
9	6.5	0.881335623534931
9.5	6.5	1.0669824418657
10	6.5	1.27715099123327
10.5	6.5	1.51279181631272
11	6.5	1.77465730648657
11.5	6.5	2.06329981675691
12	6.5	2.37907405164798
12.5	6.5	2.72214306403608
13	6.5	3.09248720885801
13.5	6.5	3.48991541074647
14	6.5	3.9140781460201
14.5	6.5	4.36448159548723
15	6.5	4.8405024889013
15.5	6.5	5.34140322964596
16	6.5	5.86634695556983
16.5	6.5	6.41441225614305
0.5	7	0
1	7	0
1.5	7	0
2	7	0
2.5	7	0
3	7	0
3.5	7	0
4	7	0
4.5	7	0
5	7	1.02380890983327E-03
5.5	7	2.36475632991711E-03
6	7	5.46202757777696E-03
6.5	7	1.26159912896572E-02
7	7	2.91399547062495E-02
7.5	7	6.73064003284791E-02
8	7	0.155461858841048
8.5	7	0.359080108821206
9	7	0.829390086496279
9.5	7	1.0065622442962
10	7	1.20761402162594
10.5	7	1.43353801670719
11	7	1.68513520315007
11.5	7	1.96301165940478
12	7	2.2675795948752
12.5	7	2.59906206452557
13	7	2.95750074071254
13.5	7	3.34276612018669
14	7	3.7545695771688
14.5	7	4.19247672255542
15	7	4.6559215882883
15.5	7	5.14422121962263
16	7	5.65659032252084
16.5	7	6.19215567580592
0.5	7.5	0
1	7.5	0
1.5	7.5	0
2	7.5	0
2.5	7.5	0
3	7.5	0
3.5	7.5	0
4	7.5	0
4.5	7.5	0
5	7.5	0
5.5	7.5	1.7924610158182E-03
6	7.5	3.9239601728286E-03
6.5	7.5	8.59012458405777E-03
7	7.5	0.018805043150181
7.5	7.5	4.11669987343913E-02
8	7.5	9.01206006954076E-02
8.5	7.5	0.197287218388261
9	7.5	0.431890669159296
9.5	7.5	0.94547204644436
10	7.5	1.13713756064855
10.5	7.5	1.35303227222704
11	7.5	1.59400556916451
11.5	7.5	1.86071772903918
12	7.5	2.15363953540582
12.5	7.5	2.47305564515752
13	7.5	2.81907110847744
13.5	7.5	3.19162044179399
14	7.5	3.59047867811033
14.5	7.5	4.01527386075002
15	7.5	4.46550049957651
15.5	7.5	4.94053356789
16	7.5	5.43964267939817
16.5	7.5	5.96200614484149
0.5	8	0
1	8	0
1.5	8	0
2	8	0
2.5	8	0
3	8	0
3.5	8	0
4	8	0
4.5	8	0
5	8	0
5.5	8	1.53212770941943E-03
6	8	3.39199947750805E-03
6.5	8	7.50959622013148E-03
7	8	1.66256026167915E-02
7.5	8	3.68076597288241E-02
8	8	8.14890049967018E-02
8.5	8	0.180409675167485
9	8	0.399411563503014
9.5	8	0.884262980418436
10	8	1.06634274503523
10.5	8	1.27196742320896
11	8	1.50203395643087
11.5	8	1.75725662432726
12	8	2.03816521309535
12.5	8	2.3451069833746
13	8	2.6782518762716
13.5	8	3.03760038422734
14	8	3.42299352784645
14.5	8	3.83412441343812
15	8	4.27055089250997
15.5	8	4.73170889852187
16	8	5.21692609362952
16.5	8	5.72543551569985
0.5	8.5	0
1	8.5	0
1.5	8.5	0
2	8.5	0
2.5	8.5	0
3	8.5	0
