waveHeight	wavePeriod	value
0.5	6.5	0
1	6.5	0
1.5	6.5	0
2	6.5	0
2.5	6.5	0
3	6.5	2.00781727606476E-03
3.5	6.5	3.08406853585254E-03
4	6.5	4.73722327585393E-03
4.5	6.5	7.27651934592586E-03
5	6.5	1.11769555092564E-02
5.5	6.5	1.71681443444307E-02
6	6.5	2.63707930113086E-02
6.5	6.5	4.05063418674527E-02
7	6.5	6.22189757729068E-02
7.5	6.5	9.55702432694898E-02
8	6.5	0.146798806716563
8.5	6.5	0.225487441657338
9	6.5	0.346355583416572
9.5	6.5	0.532012733312812
10	6.5	0.817187774526365
10.5	6.5	1.19123056152281
11	6.5	1.66398722555159
11.5	6.5	2.24117893564328
12	6.5	2.92547002651
12.5	6.5	3.71664838628447
13	6.5	4.61196487369335
13.5	6.5	5.60656107575724
14	6.5	6.69392815291175
14.5	6.5	7.86635508054533
15	6.5	9.11533911661616
15.5	6.5	10.4319432975831
16	6.5	11.8070947728371
16.5	6.5	13.2318240262481
0.5	7	0
1	7	0
1.5	7	0
2	7	0
2.5	7	0
3	7	1.50972910528319E-03
3.5	7	2.34537644050855E-03
4	7	3.64356137034317E-03
4.5	7	5.66030221424856E-03
5	7	8.7933255131667E-03
5.5	7	1.36605026823242E-02
6	7	2.12217019891244E-02
6.5	7	3.29680865915675E-02
7	7	5.12161905801006E-02
7.5	7	7.95647684997318E-02
8	7	0.123604514797232
8.5	7	0.192020618753019
9	7	0.298305592532596
9.5	7	0.46342016349129
10	7	0.719926992005112
10.5	7	1.05992965158071
11	7	1.49368018574075
11.5	7	2.02765166465958
12	7	2.66540340268493
12.5	7	3.40768275959829
13	7	4.25269867939912
13.5	7	5.19649932508055
14	7	6.23339655908694
14.5	7	7.35639378577523
15	7	8.55758736878871
15.5	7	9.82852364028931
16	7	11.1605027432054
16.5	7	12.5448271879412
0.5	7.5	0
1	7.5	0
1.5	7.5	0
2	7.5	0
2.5	7.5	0
3	7.5	1.1114799543756E-03
3.5	7.5	1.74138558956824E-03
4	7.5	2.72827571889002E-03
4.5	7.5	4.27446307289726E-03
5	7.5	6.69691645718115E-03
5.5	7.5	1.04922394391081E-02
6	7.5	1.64384742069654E-02
6.5	7.5	2.57546004188443E-02
7	7.5	0.040350426346338
7.5	7.5	6.32181000618418E-02
8	7.5	9.90455005636326E-02
8.5	7.5	0.155177254177271
9	7.5	0.243120384842993
9.5	7.5	0.380903256985602
10	7.5	0.596771394862413
10.5	7.5	0.934977822306971
11	7.5	1.33012281649325
11.5	7.5	1.82091296678283
12	7.5	2.41176632896566
12.5	7.5	3.10437954985966
13	7.5	3.89793185824805
13.5	7.5	4.78940771010307
14	7.5	5.77398177371766
14.5	7.5	6.84542159543178
15	7.5	7.99647588496873
15.5	7.5	9.21922778904464
16	7.5	10.5054018251816
16.5	7.5	11.8466201095646
0.5	8	0
1	8	0
1.5	8	0
2	8	0
2.5	8	0
3	8	0
3.5	8	3.05955878860249E-03
4	8	4.56046896339759E-03
4.5	8	6.79767201845874E-03
5	8	1.01323669213421E-02
5.5	8	1.51029439416798E-02
6	8	2.25119083701035E-02
6.5	8	3.35554459065001E-02
7	8	5.00165481963035E-02
7.5	8	0.074552878851434
8	8	0.111125856251059
8.5	8	0.165640229026428
9	8	0.24689740441632
9.5	8	0.368016445436029
10	8	0.548552158462535
10.5	8	0.817652238875862
11	8	1.17503920727632
11.5	8	1.62317016702909
12	8	2.16726736928791
12.5	8	2.80994906057401
13	8	3.5513614991202
