windSpeed	relativeAngle	shipSpeed	value
1	0	5	0.00
1	5	5	0.00
1	10	5	0.00
1	15	5	0.00
1	20	5	0.00
1	25	5	0.00
1	30	5	0.00
1	35	5	0.00
1	40	5	0.00
1	45	5	0.00
1	50	5	0.00
1	55	5	0.00
1	60	5	0.00
1	65	5	0.00
1	70	5	0.00
1	75	5	0.00
1	80	5	0.00
1	85	5	0.00
1	90	5	0.00
1	95	5	0.00
1	100	5	0.00
1	105	5	0.00
1	110	5	0.00
1	115	5	0.00
1	120	5	0.00
1	125	5	0.00
1	130	5	0.00
1	135	5	0.00
1	140	5	0.00
1	145	5	0.00
1	150	5	0.00
1	155	5	0.00
1	160	5	0.00
1	165	5	0.00
1	170	5	0.00
1	175	5	0.00
1	180	5	0.00
1	0	6	0.00
1	5	6	0.00
1	10	6	0.00
1	15	6	0.00
1	20	6	0.00
1	25	6	0.00
1	30	6	0.00
1	35	6	0.00
1	40	6	0.00
1	45	6	0.00
1	50	6	0.00
1	55	6	0.00
1	60	6	0.00
1	65	6	0.00
1	70	6	0.00
1	75	6	0.00
1	80	6	0.00
1	85	6	0.00
1	90	6	0.00
1	95	6	0.00
1	100	6	0.00
1	105	6	0.00
1	110	6	0.00
1	115	6	0.00
1	120	6	0.00
1	125	6	0.00
1	130	6	0.00
1	135	6	0.00
1	140	6	0.00
1	145	6	0.00
1	150	6	0.00
1	155	6	0.00
1	160	6	0.00
1	165	6	0.00
1	170	6	0.00
1	175	6	0.00
1	180	6	0.00
1	0	7	0.00
1	5	7	0.00
1	10	7	0.00
1	15	7	0.00
1	20	7	0.00
1	25	7	0.00
1	30	7	0.00
1	35	7	0.00
1	40	7	0.00
1	45	7	0.00
1	50	7	0.00
1	55	7	0.00
1	60	7	0.00
1	65	7	0.00
1	70	7	0.00
1	75	7	0.00
1	80	7	0.00
1	85	7	0.00
1	90	7	0.00
1	95	7	0.00
1	100	7	0.00
1	105	7	0.00
1	110	7	0.00
1	115	7	0.00
1	120	7	0.00
1	125	7	0.00
1	130	7	0.00
1	135	7	0.00
1	140	7	0.00
1	145	7	0.00
1	150	7	0.00
1	155	7	0.00
1	160	7	0.00
1	165	7	0.00
1	170	7	0.00
1	175	7	0.00
1	180	7	0.00
1	0	8	0.00
1	5	8	0.00
1	10	8	0.00
1	15	8	0.00
1	20	8	0.00
1	25	8	0.00
1	30	8	0.00
1	35	8	0.00
1	40	8	0.00
1	45	8	0.00
1	50	8	0.00
1	55	8	0.00
1	60	8	0.00
1	65	8	0.00
1	70	8	0.00
1	75	8	0.00
1	80	8	0.00
1	85	8	0.00
1	90	8	0.00
1	95	8	0.00
1	100	8	0.00
1	105	8	0.00
1	110	8	0.00
1	115	8	0.00
1	120	8	0.00
1	125	8	0.00
1	130	8	0.00
1	135	8	0.00
1	140	8	0.00
1	145	8	0.00
1	150	8	0.00
1	155	8	0.00
1	160	8	0.00
1	165	8	0.00
1	170	8	0.00
1	175	8	0.00
1	180	8	0.00
1	0	9	0.00
1	5	9	0.00
1	10	9	0.00
1	15	9	0.00
1	20	9	0.00
1	25	9	0.00
1	30	9	0.00
1	35	9	0.00
1	40	9	0.00
1	45	9	0.00
1	50	9	0.00
1	55	9	0.00
1	60	9	0.00
1	65	9	0.00
1	70	9	0.00
1	75	9	0.00
1	80	9	0.00
1	85	9	0.00
1	90	9	0.00
1	95	9	0.00
1	100	9	0.00
1	105	9	0.00
1	110	9	0.00
1	115	9	0.00
1	120	9	0.00
1	125	9	0.00
1	130	9	0.00
1	135	9	0.00
1	140	9	0.00
1	145	9	0.00
1	150	9	0.00
1	155	9	0.00
1	160	9	0.00
1	165	9	0.00
1	170	9	0.00
1	175	9	0.00
1	180	9	0.00
1	0	10	0.00
1	5	10	0.00
1	10	10	0.00
1	15	10	0.00
1	20	10	0.00
1	25	10	0.00
1	30	10	0.00
1	35	10	0.00
1	40	10	0.00
1	45	10	0.00
1	50	10	0.00
1	55	10	0.00
1	60	10	0.00
1	65	10	0.00
1	70	10	0.00
1	75	10	0.00
1	80	10	0.00
1	85	10	0.00
1	90	10	0.00
1	95	10	0.00
1	100	10	0.00
1	105	10	0.00
1	110	10	0.00
1	115	10	0.00
1	120	10	0.00
1	125	10	0.00
1	130	10	0.00
1	135	10	0.00
1	140	10	0.00
1	145	10	0.00
1	150	10	0.00
1	155	10	0.00
1	160	10	0.00
1	165	10	0.00
1	170	10	0.00
1	175	10	0.00
1	180	10	0.00
1	0	11	0.00
1	5	11	0.00
1	10	11	0.00
1	15	11	0.00
1	20	11	0.00
1	25	11	0.00
1	30	11	0.00
1	35	11	0.00
1	40	11	0.00
1	45	11	0.00
1	50	11	0.00
1	55	11	0.00
1	60	11	0.00
1	65	11	0.00
1	70	11	0.00
1	75	11	0.00
1	80	11	0.00
1	85	11	0.00
1	90	11	0.00
1	95	11	0.00
1	100	11	0.00
1	105	11	0.00
1	110	11	0.00
1	115	11	0.00
1	120	11	0.00
1	125	11	0.00
1	130	11	0.00
1	135	11	0.00
1	140	11	0.00
1	145	11	0.00
1	150	11	0.00
1	155	11	0.00
1	160	11	0.00
1	165	11	0.00
1	170	11	0.00
1	175	11	0.00
1	180	11	0.00
1	0	12	0.00
1	5	12	0.00
1	10	12	0.00
1	15	12	0.00
1	20	12	0.00
1	25	12	0.00
1	30	12	0.00
1	35	12	0.00
1	40	12	0.00
1	45	12	0.00
1	50	12	0.00
1	55	12	0.00
1	60	12	0.00
1	65	12	0.00
1	70	12	0.00
1	75	12	0.00
1	80	12	0.00
1	85	12	0.00
1	90	12	0.00
1	95	12	0.00
1	100	12	0.00
1	105	12	0.00
1	110	12	0.00
1	115	12	0.00
1	120	12	0.00
1	125	12	0.00
1	130	12	0.00
1	135	12	0.00
1	140	12	0.00
1	145	12	0.00
1	150	12	0.00
1	155	12	0.00
1	160	12	0.00
1	165	12	0.00
1	170	12	0.00
1	175	12	0.00
1	180	12	0.00
1	0	13	0.00
1	5	13	0.00
1	10	13	0.00
1	15	13	0.00
1	20	13	0.00
1	25	13	0.00
1	30	13	0.00
1	35	13	0.00
1	40	13	0.00
1	45	13	0.00
1	50	13	0.00
1	55	13	0.00
1	60	13	0.00
1	65	13	0.00
1	70	13	0.00
1	75	13	0.00
1	80	13	0.00
1	85	13	0.00
1	90	13	0.00
1	95	13	0.00
1	100	13	0.00
1	105	13	0.00
1	110	13	0.00
1	115	13	0.00
1	120	13	0.00
1	125	13	0.00
1	130	13	0.00
1	135	13	0.00
1	140	13	0.00
1	145	13	0.00
1	150	13	0.00
1	155	13	0.00
1	160	13	0.00
1	165	13	0.00
1	170	13	0.00
1	175	13	0.00
1	180	13	0.00
1	0	14	0.00
1	5	14	0.00
1	10	14	0.00
1	15	14	0.00
1	20	14	0.00
1	25	14	0.00
1	30	14	0.00
1	35	14	0.00
1	40	14	0.00
1	45	14	0.00
1	50	14	0.00
1	55	14	0.00
1	60	14	0.00
1	65	14	0.00
1	70	14	0.00
1	75	14	0.00
1	80	14	0.00
1	85	14	0.00
1	90	14	0.00
1	95	14	0.00
1	100	14	0.00
1	105	14	0.00
1	110	14	0.00
1	115	14	0.00
1	120	14	0.00
1	125	14	0.00
1	130	14	0.00
1	135	14	0.00
1	140	14	0.00
1	145	14	0.00
