windSpeed	relativeAngle	shipSpeed	value
1	0	5	2.85655845365294E-06
1	0.832745573421944	5	2.59311819469049E-04
1	1.66196100935926	5	3.10378921349093E-04
1	2.48409829788568	5	3.08744081022754E-04
1	3.29557376974449	5	3.21411895192722E-04
1	4.09275049529302	5	3.43990936621821E-04
1	4.87192099979182	5	4.33723669931585E-04
1	5.62929047284066	5	6.57206145966522E-04
1	6.36096071645427	5	6.46998081331073E-04
1	7.06291516547347	5	8.4484594856835E-04
1	7.73100542955195	5	9.62362780859339E-04
1	8.3609399522593	5	9.4182274585163E-04
1	8.94827556462708	5	1.11394477699981E-03
1	9.48841293228737	5	1.08613831755913E-03
1	9.97659716076109	5	1.15392099332809E-03
1	10.4079251336721	5	1.12128740109288E-03
1	10.7773615106102	5	1.31895572423701E-03
1	11.0797656947755	5	1.27782531601537E-03
1	11.3099324740202	5	1.23637951540375E-03
1	11.4626494048592	5	1.19493375041618E-03
1	11.5327742875568	5	1.4010180613783E-03
1	11.5153361829593	5	1.3518381890931E-03
1	11.4056632258823	5	1.07373654723468E-03
1	11.1995398379713	5	1.03540930193466E-03
1	10.8933946491309	5	9.98611587344233E-04
1	10.484518307592	5	7.94801882570774E-04
1	9.97130723521349	5	7.67655696014353E-04
1	9.353525208112	5	6.80183202131883E-04
1	8.63256954578244	5	6.59004651056368E-04
1	7.8117230989222	5	5.28499841727582E-04
1	6.89636793222882	5	4.42965394701435E-04
1	5.89413277461933	5	3.25548410285419E-04
1	4.81494537494281	5	2.07762832106647E-04
1	3.67096422112091	5	1.60312196904396E-04
1	2.4763725059582	5	1.39845412720381E-04
1	1.24703058964111	5	1.15645353973555E-04
1	2.49999997620336E-03	5	1.26906753321212E-06
1	0	6	3.8884275586162E-06
1	0.713730554220195	6	3.52997082685773E-04
1	1.42412777149046	6	3.52011776631324E-04
1	2.12784647189636	6	4.20711132726844E-04
1	2.82151797828422	6	4.38360420678283E-04
1	3.50173885234177	6	4.6969173617952E-04
1	4.16506024900543	6	4.64949347002037E-04
1	4.80797815748515	6	5.86009745475057E-04
1	5.42692485248258	6	5.78034877150826E-04
1	6.01826195054938	6	8.74289406580375E-04
1	6.57827555511057	6	1.14227050443489E-03
1	7.10317408033154	6	1.12105303323391E-03
1	7.58908946897494	6	1.27611637850101E-03
1	8.03208266173777	6	1.24855839196032E-03
1	8.42815433241336	6	1.21985497150204E-03
1	8.77326206877758	6	1.44115606566402E-03
1	9.06334534329923	6	1.40442932122334E-03
1	9.29435976474647	6	1.36713272898835E-03
1	9.46232220802562	6	1.3295501394831E-03
1	9.56336845230783	6	1.41019914165513E-03
1	9.59382487312071	6	1.36948948285242E-03
1	9.55029547809555	6	1.3294018838592E-03
1	9.42976508483881	6	1.18206728145756E-03
1	9.22971864547086	6	1.14731254951761E-03
1	8.94827556462708	6	1.11394477699981E-03
1	8.58433629777866	6	1.08221790980738E-03
1	8.13773656191702	6	8.69136610540238E-04
1	7.60940222174397	6	8.46230792550759E-04
1	7.00149551348363	6	7.10378876109392E-04
1	6.31754103694823	6	5.22245709512637E-04
1	5.56251830239617	6	5.11434038157396E-04
1	4.74290705654641	6	3.26907866067878E-04
1	3.86667261831213	6	2.52365143605492E-04
1	2.94318138117319	6	2.30717847041762E-04
1	1.98304155751473	6	2.18032331692979E-04
1	0.997870823032071	6	1.80597040947454E-04
1	1.9999999829427E-03	6	1.9834384526035E-06
1	0	7	5.07904578233045E-06
1	0.624479351689207	7	4.61104132089426E-04
1	1.24583333225974	7	4.59954605812188E-04
1	1.86092921349558	7	5.49994983717737E-04
1	2.46661978471589	7	5.46815104837915E-04
