waveHeight	value
0.5	0
1	2.38883822718875E-98
1.5	1.79531078600305E-43
2	2.88883777942096E-24
2.5	2.24195827047616E-15
3	1.51255571203986E-10
3.5	1.23451575247952E-07
4	9.57981800964745E-06
4.5	1.8925156519495E-04
5	1.59894435906699E-03
5.5	7.75453931756816E-03
6	0.025769400485836
6.5	6.56132485683018E-02
7	0.137737002990447
7.5	0.25053676603635
8	0.408804610073985
8.5	0.613409068546839
9	0.861859235883871
9.5	1.14927278060043
10	1.46938231254006
10.5	1.81538204224124
11	2.18054709326231
11.5	2.55863350774134
12	2.94409994218622
12.5	3.33219940560204
13	3.71898438719289
13.5	4.10125941131216
14	4.47650554960221
14.5	4.84279340480995
15	5.19869497655953
15.5	5.5432004745076
16	5.8756432120103
16.5	6.19563382982513
