waveHeight	value
0.5	0
1	0
1.5	3.00896479339754E-307
2	1.22145994480613E-172
2.5	2.46244995312339E-110
3	1.72099950953451E-76
3.5	4.39434892082054E-56
4	7.72496067798211E-43
4.5	9.30306092506788E-34
5	2.91083992560703E-27
5.5	1.86154766553905E-22
6	8.41630870255876E-19
6.5	0.0035
7	1.08542839357293E-02
7.5	3.36615656449805E-02
8	0.10439205463766
8.5	0.323743143334667
9	1.00368096110474
9.5	1.11497881192372
10	1.23105496747775
10.5	1.35154596274543
11	1.47608186878053
11.5	1.60429111982695
12	1.7358046522838
12.5	1.87025939058023
13	2.00730112618676
13.5	2.14658684263405
14	2.28778654254698
14.5	2.43058463320187
15	2.57468092570225
15.5	2.71979130013231
16	2.86564808545329
16.5	3.01200019881806
