waveHeight	value
0.5	0
1	0
1.5	5.10651768357389E-178
2	6.00606226318013E-100
2.5	8.2046903820407E-64
3	3.49307314636492E-44
3.5	2.39311354746628E-32
4	1.15033392384801E-24
4.5	2.12560361501491E-19
5	1.24363237461373E-15
5.5	0.004
6	1.23073087441224E-02
6.5	3.78674621307881E-02
7	0.116511636949993
7.5	0.358486172056668
8	1.10331381328531
8.5	1.2560411577355
9	1.41624646443925
9.5	1.583090602168
10	1.75573602216051
10.5	1.93336118909447
11	2.11517186657903
11.5	2.30040960779972
12	2.48835782753733
12.5	2.67834582907004
13	2.86975113856518
13.5	3.06200046805267
14	3.25456959140013
14.5	3.4469823796388
15	3.63880920497902
15.5	3.82966488840194
16	4.0192063346287
16.5	4.20712997088394
