waveHeight	value
0.5	0
1	7.92821333562842E-190
1.5	3.95185712325818E-84
2	3.89915322455758E-47
2.5	5.17589787622694E-30
3	1.03604060932387E-20
3.5	4.20554452118055E-15
4	0.005
4.5	0.012227
5	0.029898
5.5	0.07311
6	0.178776
6.5	0.437096
7	1.06937106701284
7.5	1.29114432446693
8	1.5283030406549
8.5	1.77827766613861
9	2.03854805093327
9.5	2.30671887398516
10	2.58056930884134
10.5	2.8580819767932
11	3.1374560176091
11.5	3.41710851770603
12	3.69566781002693
12.5	3.97196143504563
13	4.24500089836648
13.5	4.51396480617807
14	4.77818151025091
14.5	5.03711204154894
15	5.29033384262428
15.5	5.53752560908677
16	5.77845340558404
16.5	6.01295811959365
