waveHeight	value
0.5	0
1	0
1.5	0
2	0
2.5	0
3	0
3.5	0
4	0
4.5	0
5	0.005
5.5	0.01471799
6	0.04332384
6.5	0.12752795
7	0.37539097
7.5	1.105
8	1.4677116414642
8.5	1.75436687515515
9	2.05510126825487
9.5	2.36621164746319
10	2.68430890089378
10.5	3.00637331065788
11	3.32977415835029
11.5	3.65226471805407
12	3.97196143504563
12.5	4.28731389116824
13	4.59707028709911
13.5	4.90024168185938
14	5.19606709863145
14.5	5.48398077916881
15	5.76358228520612
15.5	6.03460974692412
16	6.29691629721892
16.5	6.55044956763324
