waveHeight	value
0.5	1.51255571203986E-10
1	1.23451575247952E-07
1.5	9.57981800964745E-06
2	1.8925156519495E-04
2.5	0
3	0
3.5	0
4	0.005
4.5	0.0121726
5	0.02963445
5.5	0.07214569
6	0.17564016
6.5	0.42759959
7	1.041
7.5	1.46938231254006
8	1.81538204224124
8.5	2.18054709326231
9	2.55863350774134
9.5	2.94409994218622
10	3.33219940560204
10.5	3.71898438719289
11	4.10125941131216
11.5	4.47650554960221
12	4.84279340480995
12.5	5.19869497655953
13	5.5432004745076
13.5	5.8756432120103
14	6.19563382982513
14.5	6.50300395367276
15	6.79775874149701
15.5	7.08003745132357
16	7.3500810370492
16.5	7.60820577536779
