waveHeight	value
0.5	0
1	1.81016459411227E-137
1.5	4.79298408033007E-34
2	6.80757819328436E-15
2.5	0.001
3	0.00269628
3.5	0.00726995
4	0.01960185
4.5	0.05285216
5	0.14250444
5.5	0.38423248
6	1.036
6.5	1.57500750434979
7	2.18243989511336
7.5	2.82712427262306
8	3.48357838466464
8.5	4.13276856427945
9	4.76155795339553
9.5	5.36158712644856
10	5.92809699612493
10.5	6.4589065381869
11	6.95360365657102
11.5	7.41293894238721
12	7.83838794400464
12.5	8.23184390959714
13	8.59540739630684
13.5	8.93124582218464
14	9.2415025066336
14.5	9.52824015512106
15	9.79340795664222
15.5	10.0388246124057
16	10.2661719110647
16.5	10.4769951131297
