shipSpeed_relative_knots	significantWaveHeight_m	meanWavePeriod_s	relativeWaveDirection	value
5	0	6.5	0	0
5	0	6.5	5	0
5	0	6.5	10	0
5	0	6.5	15	0
5	0	6.5	20	0
5	0	6.5	25	0
5	0	6.5	30	0
5	0	6.5	35	0
5	0	6.5	40	0
5	0	6.5	45	0
5	0	6.5	50	0
5	0	6.5	55	0
5	0	6.5	60	0
5	0	6.5	65	0
5	0	6.5	70	0
5	0	6.5	75	0
5	0	6.5	80	0
5	0	6.5	85	0
5	0	6.5	90	0
5	0	6.5	95	0
5	0	6.5	100	0
5	0	6.5	105	0
5	0	6.5	110	0
5	0	6.5	115	0
5	0	6.5	120	0
5	0	6.5	125	0
5	0	6.5	130	0
5	0	6.5	135	0
5	0	6.5	140	0
5	0	6.5	145	0
5	0	6.5	150	0
5	0	6.5	155	0
5	0	6.5	160	0
5	0	6.5	165	0
5	0	6.5	170	0
5	0	6.5	175	0
5	0	6.5	180	0
5	0	7.5	0	0
5	0	7.5	5	0
5	0	7.5	10	0
5	0	7.5	15	0
5	0	7.5	20	0
5	0	7.5	25	0
5	0	7.5	30	0
5	0	7.5	35	0
5	0	7.5	40	0
5	0	7.5	45	0
5	0	7.5	50	0
5	0	7.5	55	0
5	0	7.5	60	0
5	0	7.5	65	0
5	0	7.5	70	0
5	0	7.5	75	0
5	0	7.5	80	0
5	0	7.5	85	0
5	0	7.5	90	0
5	0	7.5	95	0
5	0	7.5	100	0
5	0	7.5	105	0
5	0	7.5	110	0
5	0	7.5	115	0
5	0	7.5	120	0
5	0	7.5	125	0
5	0	7.5	130	0
5	0	7.5	135	0
5	0	7.5	140	0
5	0	7.5	145	0
5	0	7.5	150	0
5	0	7.5	155	0
5	0	7.5	160	0
5	0	7.5	165	0
5	0	7.5	170	0
5	0	7.5	175	0
5	0	7.5	180	0
5	0	8.5	0	0
5	0	8.5	5	0
5	0	8.5	10	0
5	0	8.5	15	0
5	0	8.5	20	0
5	0	8.5	25	0
5	0	8.5	30	0
5	0	8.5	35	0
5	0	8.5	40	0
5	0	8.5	45	0
5	0	8.5	50	0
5	0	8.5	55	0
5	0	8.5	60	0
5	0	8.5	65	0
5	0	8.5	70	0
5	0	8.5	75	0
5	0	8.5	80	0
5	0	8.5	85	0
5	0	8.5	90	0
5	0	8.5	95	0
5	0	8.5	100	0
5	0	8.5	105	0
5	0	8.5	110	0
5	0	8.5	115	0
5	0	8.5	120	0
5	0	8.5	125	0
5	0	8.5	130	0
5	0	8.5	135	0
5	0	8.5	140	0
5	0	8.5	145	0
5	0	8.5	150	0
5	0	8.5	155	0
5	0	8.5	160	0
5	0	8.5	165	0
5	0	8.5	170	0
5	0	8.5	175	0
5	0	8.5	180	0
5	0	9.5	0	0
5	0	9.5	5	0
5	0	9.5	10	0
5	0	9.5	15	0
5	0	9.5	20	0
5	0	9.5	25	0
5	0	9.5	30	0
5	0	9.5	35	0
5	0	9.5	40	0
5	0	9.5	45	0
5	0	9.5	50	0
5	0	9.5	55	0
5	0	9.5	60	0
5	0	9.5	65	0
5	0	9.5	70	0
5	0	9.5	75	0
5	0	9.5	80	0
5	0	9.5	85	0
5	0	9.5	90	0
5	0	9.5	95	0
5	0	9.5	100	0
5	0	9.5	105	0
